"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","5","6","0","0","11",".46"
"1 - 2 Years","157","211","0","3","371","15.44"
"3 - 5 Years","368","444","4","6","822","34.21"
"6 - 10 Years","324","275","5","1","605","25.18"
"11 - 20 Years","202","99","2","0","303","12.61"
"21 -30 Years","24","14","1","1","40","1.66"
"Greater Than 30 Years","10","7","0","0","17",".71"
"Life","49","39","0","0","88","3.66"
"Death","0","3","0","0","3",".12"
"Verification Pending","54","89","0","0","143","5.95"
"TOTAL","1,193","1,187","12","11","2,403","100.00"
