"AGE","MALE","FEMALE","TOTAL","%"
"14","1","0","1",".00"
"15","4","0","4",".02"
"16","17","0","17",".07"
"17","49","1","50",".20"
"18  -  19","483","31","514","2.06"
"20  -  29","8,521","708","9,229","37.07"
"30  -  39","6,556","796","7,352","29.53"
"40  -  49","4,601","637","5,238","21.04"
"50  -  59","1,811","191","2,002","8.04"
"60  -  69","358","35","393","1.58"
"70  -  79","77","4","81",".33"
"80+","5","1","6",".02"
"Verification Pending","10","0","10",".04"
