"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"1","569","532","6","6","1,113"
"2","266","291","4","0","561"
"3","142","117","1","1","261"
"4","34","27","0","1","62"
"5","9","2","0","0","11"
"Verification Pending","173","218","1","3","395"
"Unknown","0","0","0","1","1"
"TOTAL","1,193","1,187","12","12","2,404"
