"CLASS","MALE","%"
"MOA","3,132","13.92"
"MORA","4,126","18.34"
"MOB","5,855","26.03"
"MORB","4,239","18.85"
"C","2,339","10.40"
"D","701","3.12"
"DR","63",".28"
"*Unclassified","2,038","9.06"
"TOTAL","22,493","100.00"
