"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","2,974","171","3,145","12.63"
"Homicide/Manslaughter","2,314","192","2,506","10.07"
"Possession of Drugs","3,926","525","4,451","17.88"
"Sales of Drugs","3,840","444","4,284","17.21"
"Robbery","2,685","108","2,793","11.22"
"Sex Offense","2,019","25","2,044","8.21"
"Violent","1,525","119","1,644","6.60"
"Property","3,210","820","4,030","16.19"
"TOTAL","22,493","2,404","24,897","100.00"
