"UNKNOWN","TOTAL","%","","UNKNOWN","TOTAL","%"
"17","1","5.26","","40  -  49","2","10.53"
"18  -  19","2","10.53","","50  -  59","2","10.53"
"20  -  29","9","47.37","","80+","1","5.26"
"30  -  39","2","10.53","","TOTAL","19","100.00"
