"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"17","1","0","0","0","1"
"18 - 19","15","15","0","1","31"
"20 - 29","336","365","2","5","708"
"30 - 39","398","393","4","1","796"
"40 - 49","322","309","5","1","637"
"50 - 59","106","82","0","3","191"
"60 - 69","14","20","1","0","35"
"70 - 79","1","3","0","0","4"
"TOTAL","1,193","1,187","12","11","2,403"
