"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Burglary","1,904","1,040","13","17","2,974"
"Homicide/Manslaughter","1,711","584","11","8","2,314"
"Possession of Drugs","2,297","1,561","56","12","3,926"
"Sales of Drugs","3,344","483","9","4","3,840"
"Robbery","2,287","384","9","5","2,685"
"Sex Offense","1,090","905","18","6","2,019"
"Violent","1,132","379","7","7","1,525"
"Property","1,758","1,410","25","17","3,210"
"TOTAL","15,523","6,746","148","76","22,493"
