"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Possession of Drugs","3,926","525","","4,451","17.88"
"Sale of Drugs","3,840","444","","4,284","17.21"
"Property","3,210","820","","4,030","16.19"
"Burglary","2,974","171","","3,145","12.63"
"Robbery","2,685","108","","2,793","11.22"
"Homicide/Manslaughter","2,314","192","","2,506","10.07"
"Sex Offense","2,019","25","","2,044","8.21"
"Violent","1,525","119","","1,644","6.60"
