year,total_pop,total_pop_15to64,total_jail_adm,total_jail_adm_dcrp,total_jail_pop,total_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp
1970,31998,18520,0.0,,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,
1971,32788,19070,0.0,,18.25,10.5,0.0,0.0,0.0,0.0,0.0,0.0,
1972,33193,19401,0.0,,23.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
1973,33586,19736,0.0,,28.75,9.5,0.0,0.0,0.0,0.0,0.0,0.0,
1974,34430,20315,0.0,,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
1975,34472,20339,0.0,,39.25,8.5,0.0,0.0,0.0,0.0,0.0,0.0,
1976,34844,20629,0.0,,44.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,
1977,35718,21270,0.0,,49.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0,
1978,35695,21235,1147.143,,55.0,7.0,17.0,0.0,2.0,0.0,0.0,0.0,
1979,35951,21404,1490.514,,51.6,7.6,18.4,0.0,1.9,0.0,0.0,0.0,
1980,36266,21618,1833.886,,48.2,8.2,19.8,0.0,1.8,0.0,0.0,0.0,
1981,36682,21917,2177.257,,44.8,8.8,21.2,0.0,1.7,0.0,0.0,0.0,
1982,36984,22133,2520.629,,41.4,9.4,22.6,0.0,1.6,0.0,0.0,0.0,
1983,37127,22213,2864.0,,38.0,10.0,24.0,0.0,1.5,0.0,0.0,0.0,
1984,37252,22316,2897.0,,43.8,15.0,19.4,0.0,1.4,0.0,0.0,0.0,
1985,37886,22706,2930.0,,49.6,20.0,14.8,0.0,1.3,0.0,0.0,0.0,
1986,37803,22757,2963.0,,55.4,25.0,10.2,0.0,1.2,0.0,0.0,0.0,
1987,37419,22605,2996.0,,61.2,30.0,5.6,0.0,1.1,0.0,0.0,0.0,
1988,37138,22490,3029.0,,67.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0,
1989,37113,22497,2928.667,,62.6,37.08333,4.0,0.0,2.615385,0.0,0.0,0.0,
1990,36827,22546,2828.333,,58.2,39.16667,7.0,0.0,4.2307690000000004,0.0,0.0,0.0,
1991,36850,22523,2728.0,,53.8,41.25,10.0,0.0,5.846154,0.0,0.0,0.0,
1992,37154,22694,2627.667,,49.4,43.33333,13.0,0.0,7.461538000000001,0.0,0.0,0.0,
1993,37755,23199,2527.333,,45.0,45.41667,16.0,0.0,9.076922999999999,0.0,0.0,0.0,
1994,37982,23441,2427.0,,55.5,47.5,19.0,0.0,10.69231,0.0,0.0,0.0,
1995,38321,23781,2326.667,,66.0,49.58333,22.0,0.0,12.30769,0.0,0.0,0.0,
1996,38339,23945,2226.333,,76.5,51.66667,25.0,0.0,13.923079999999999,0.0,0.0,0.0,
1997,38473,24079,2126.0,,87.0,53.75,28.0,0.0,15.53846,0.0,0.0,0.0,
1998,38537,24233,2025.6670000000001,,97.5,55.833330000000004,31.0,0.0,17.15385,0.0,0.0,0.0,
1999,38778,24413,1925.3329999999999,,108.0,57.916669999999996,34.0,0.0,18.76923,0.0,0.0,0.0,
2000,38995,24656,1825.0,4207.0,130.0,60.0,37.0,0.0,20.384610000000002,0.0,0.0,0.0,96.0
2001,38739,24506,4067.143,4680.0,112.0,26.0,39.0,0.0,22.0,0.0,0.0,0.0,100.0
2002,38734,24597,4692.857,4680.0,120.0,37.0,58.0,0.0,31.0,0.0,0.0,0.0,144.0
2003,38649,24515,2190.0,4680.0,119.0,85.0,55.0,1.0,23.5,0.0,0.0,0.0,145.0
2004,38700,24519,2789.643,4420.0,140.0,65.0,52.5,1.166667,16.0,0.0,0.0,0.0,135.0
2005,38905,24702,3389.2859999999996,4160.0,163.0,86.0,50.0,1.333333,8.5,0.0,0.0,0.0,140.0
2006,40241,25532,8134.286,3900.0,140.0,119.0,38.0,1.5,1.0,1.0,3.0,3.0,170.0
2007,40141,25512,6570.0,4000.0,170.0,104.0,73.0,1.666667,1.0,1.0,1.0,1.0,150.0
2008,40290,25659,5005.714,6391.0,150.0,97.0,59.5,1.833333,17.5,1.0,1.0,1.0,140.0
2009,40332,25641,3441.429,4214.0,103.0,101.0,46.0,2.0,34.0,1.0,1.0,1.0,130.0
2010,40407,25630,2711.429,3800.0,130.0,114.0,38.0,2.0,27.4,1.0,1.0,1.0,140.0
2011,40447,25646,3128.571,3550.0,130.0,115.0,35.0,2.0,20.8,1.0,2.0,2.0,150.0
2012,40430,25606,3806.429,4745.0,150.0,166.0,35.0,2.0,14.2,1.0,2.0,2.0,150.0
2013,40086,25158,1280.0,4745.0,188.0,153.0,35.0,2.0,7.6,1.0,2.0,0.0,188.0
2014,39942,24966,3337.143,,163.0,129.0,34.0,2.0,1.0,1.0,2.0,0.0,
2015,39937,24797,3337.143,,163.0,129.0,34.0,2.0,1.0,1.0,2.0,0.0,
2016,39862,24708,,,,,,,,,,,
