"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,573","59.83%","3,070","48.52%","15,643","57.22%"
"White","8,093","38.51%","3,158","49.91%","11,251","41.15%"
"Hispanic","142",".68%","24",".38%","166",".61%"
"Native American","16",".08%","8",".13%","24",".09%"
"Asian","65",".31%","14",".22%","79",".29%"
"Data Unavailable","124",".59%","53",".84%","177",".65%"
"TOTAL","21,013","100.00%","6,327","100.00%","27,340","100.00%"
