"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","16,421","60.80%","3,670","46.69%","20,091","57.62%"
"White","10,192","37.74%","4,070","51.77%","14,262","40.90%"
"Hispanic","207","0.77%","54",".69%","261",".75%"
"Native American","26",".10%","11",".14%","37",".11%"
"Asian","79",".29%","21",".27%","100",".29%"
"Data Unavailable","84",".31%","35",".45%","119",".34%"
"TOTAL","27,009","100.00%","7,861","100.00%","34,870","100.00%"
