"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","12,548","60.73%","2,648","44.04%","15,196","56.97%"
"White","7,850","37.99%","3,280","54.55%","11,130","41.72%"
"Hispanic","152","0.74%","37",".62%","189",".71%"
"Native American","19",".09%","12",".20%","31",".12%"
"Asian","52",".25%","12",".20%","64",".24%"
"Data Unavailable","42",".20%","24",".40%","66",".25%"
"TOTAL","20,663","100.00%","6,013","100.00%","26,676","100.00%"
