"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,039","60.63%","2,773","44.42%","15,812","56.98%"
"White","8,180","38.03%","3,382","54.17%","11,562","41.66%"
"Hispanic","159","0.74%","36",".58%","195",".70%"
"Native American","20",".09%","13",".21%","33",".12%"
"Asian","60",".28%","14",".22%","74",".27%"
"Data Unavailable","49",".23%","25",".40%","74",".27%"
"TOTAL","21,507","100.00%","6,243","100.00%","27,750","100.00%"
