"","","","As of September 4, 2018","","",""
"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,562","60.65%","373","31.14%","4,935","56.59%"
"White","2,897","38.51%","814","67.95%","3,711","42.56%"
"Hispanic","34",".45%","6",".50%","40",".46%"
"Native American","10",".13%","3",".25%","13",".15%"
"Asian","16",".21%","1",".08%","17",".19%"
"Data Unavailable","3",".04%","1",".08%","4",".05%"
"TOTAL","7,522","100.00%","1,198","100.00%","8,720","100.00%"
