"FIELD OFFICER CASELOADS","","","",""
"","Probation","Parole","ERS","ISP"
"REGION I - Regular Caseload","6,717","2,205","616","587"
"Compact","471","202","",""
"98 Field Officers + 27 ISP Officers","","","",""
"","","","",""
"REGION II - Regular Caseload","5,871","1,359","434","368"
"Compact","330","121","",""
"63 Field Officers + 16 ISP Officers","","","",""
"","","","",""
"REGION III - Regular Caseload","7,115","2,621","616","618"
"Compact","718","294","",""
"86 Field Officers + 27 ISP Officers","","","",""
"TOTAL","19,703","6,802","1,666","1,573"
