"INVESTIGATIONS","","","",""
"","","REGION I REGION II REGION III","","TOTAL"
"Pre-Sentence Investigations","2,395","771","2,036","5,202"
"Post-Sentence Investigations","3,054","3,587","4,040","10,681"
"Pre-Release Investigations","1,653","1,107","2,553","5,313"
"Compact Investigations","697","538","868","2,103"
"Restoration of Rights Investigations","17","0","25","42"
"Residence & Employment Investigations","3,920","4,460","5,074","13,454"
"TOTAL","11,736","10,463","14,596","36,795"
