"COUNTY 
JUN ‘12 
JUN '11 
JUN '10 
JUN '09 
JUN '08 
JUN '07","","","","","",""
"Lauderdale","11","12","7","14","16","14"
"Lawrence","8","11","4","2","9","4"
"Leake","4","5","8","5","4","4"
"Lee","68","76","60","56","46","40"
"Leflore","18","11","15","22","15","20"
"Lincoln","34","25","26","26","21","18"
"Lowndes","11","19","31","25","32","28"
"Madison","27","37","45","30","19","26"
"Marion","17","18","25","14","27","33"
"Marshall","42","29","24","34","30","20"
"Monroe","20","37","35","23","26","24"
"Montgomery","1","1","4","1","4","5"
"Neshoba","1","1","4","4","5","2"
"Newton","6","6","1","3","0","4"
"Noxubee","0","5","1","6","5","2"
"Oktibbeha","9","17","16","18","15","8"
"Panola","12","14","13","12","10","10"
"Pearl River","45","38","65","49","35","37"
"Perry","2","2","1","0","0","1"
"Pike","35","27","45","49","51","24"
"Pontotoc","13","32","18","21","13","17"
"Prentiss","21","16","23","26","22","13"
"Quitman","0","2","3","3","4","3"
"Rankin","61","39","42","37","33","33"
"Scott","8","6","6","4","5","5"
"Sharkey","0","3","6","0","0","0"
"Simpson","11","4","10","7","6","5"
"Smith","12","13","10","7","6","7"
"Stone","10","13","4","2","1","2"
"Sunflower","32","9","21","22","17","39"
"Tallahatchie","0","6","2","5","2","3"
"Tate","5","6","6","4","2","6"
"Tippah","4","7","5","8","11","12"
"Tishomingo","21","27","5","7","13","10"
"Tunica","4","5","8","2","4","2"
"Union","10","19","18","20","12","11"
"Walthall","9","8","10","9","4","10"
