"JUN '06","JUN '05","JUN '04","JUN '03","JUN '02","TOTALS"
"20","10","19","18","20","161"
"0","0","0","0","0","38"
"4","6","4","13","6","63"
"49","30","42","35","46","548"
"23","45","40","40","32","281"
"19","16","12","26","33","256"
"18","29","57","34","62","346"
"36","4","4","2","6","236"
"39","46","26","14","10","269"
"23","15","43","20","19","299"
"21","22","12","22","11","253"
"2","3","2","15","9","47"
"10","5","13","16","8","69"
"6","6","15","19","3","69"
"5","2","0","7","2","35"
"40","29","35","28","21","236"
"23","25","19","6","20","164"
"28","36","29","32","11","405"
"0","0","0","0","0","6"
"45","49","56","47","44","472"
"25","19","17","7","10","192"
"30","26","22","15","15","229"
"1","2","4","3","2","27"
"47","53","47","36","31","459"
"0","5","2","8","4","53"
"0","3","0","0","5","17"
"5","4","8","4","3","67"
"18","15","20","3","11","122"
"1","3","0","2","7","45"
"25","31","34","23","48","301"
"4","3","5","1","6","37"
"1","1","2","3","5","41"
"4","8","2","6","9","76"
"2","12","7","5","6","115"
"0","2","1","6","4","38"
"36","13","21","16","18","194"
"1","1","0","2","10","64"
