"Mississippi Offenders Supervised in Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","500","","1,788","","2,288"
"AUG","","501","","1,797","","2,298"
"SEP","","502","","1,807","","2,309"
"OCT","","503","","1,841","","2,344"
"NOV","","509","","1,890","","2,399"
"DEC","","507","","1,875","","2,382"
"JAN","","611","","1,866","","2,377"
"FEB","","507","","1,883","","2,390"
"MAR","","518","","1,882","","2,400"
"APR","","578","","1,767","","2,343"
"MAY","","517","","1,898","","2,415"
"JUN","","513","","1,935","","2,448"
