"COUNTY","JUN ‘12","JUN '11","JUN '10","JUN '09","JUN '08","JUN '07"
"Lauderdale","17","13","11","6","2","7"
"Lawrence","0","3","2","2","0","0"
"Leake","4","6","12","8","5","4"
"Lee","12","25","33","10","4","9"
"Leflore","5","6","5","5","3","0"
"Lincoln","13","11","9","1","0","0"
"Lowndes","30","20","40","31","15","14"
"Madison","11","26","15","8","4","6"
"Marion","8","4","5","3","5","2"
"Marshall","11","5","16","4","0","2"
"Monroe","11","12","18","3","9","8"
"Montgomery","7","7","1","2","0","0"
"Neshoba","5","10","16","8","8","3"
"Newton","3","8","5","11","3","3"
"Noxubee","3","4","3","0","4","3"
"Oktibbeha","12","18","27","11","6","4"
"Panola","24","9","25","7","3","2"
"Pearl River","5","9","2","3","0","0"
"Perry","2","0","0","0","0","0"
"Pike","7","12","15","2","0","2"
"Pontotoc","12","9","18","6","3","6"
"Prentiss","5","1","5","3","0","4"
"Quitman","1","1","0","0","0","0"
"Rankin","22","30","26","12","8","8"
"Scott","4","14","16","5","7","4"
"Sharkey","1","0","2","0","0","0"
"Simpson","4","4","3","2","2","0"
"Smith","3","2","2","1","0","1"
"Stone","0","4","0","0","0","1"
"Sunflower","6","5","5","3","2","2"
"Tallahatchie","6","5","3","4","3","6"
"Tate","13","11","11","3","1","2"
"Tippah","0","1","3","2","0","2"
"Tishomingo","5","1","1","1","1","1"
"Tunica","3","4","3","1","1","0"
"Union","4","5","9","3","2","4"
"Walthall","4","4","4","1","1","0"
