"Offenders Supervised in Mississippi for Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","584","","1,629","","2,213"
"AUG","","584","","1,644","","2,228"
"SEP","","585","","1,645","","2,230"
"OCT","","588","","1,693","","2,281"
"NOV","","589","","1,716","","2,305"
"DEC","","580","","1,723","","2,303"
"JAN","","581","","1,751","","2,332"
"FEB","","582","","1,756","","2,338"
"MAR","","578","","1,755","","2,333"
"APR","","522","","1,903","","2,425"
"MAY","","582","","1,678","","2,260"
"JUN","","570","","1,783","","2,353"
