"COUNTY","JUN ‘12","JUN '11","JUN '10","JUN '09","JUN '08","JUN '07"
"Adams","7","2","3","4","5","10"
"Alcorn","2","3","6","2","4","1"
"Amite","2","2","3","0","0","0"
"Attala","4","7","12","6","5","5"
"Benton","2","5","6","1","0","2"
"Bolivar","1","4","7","2","2","3"
"Calhoun","3","3","5","3","1","3"
"Carroll","3","2","9","0","0","2"
"Chickasaw","8","9","22","8","4","3"
"Choctaw","6","4","4","1","2","1"
"Clairborne","0","1","1","1","0","0"
"Clarke","3","1","2","0","0","0"
"Clay","8","11","17","4","7","8"
"Coahoma","6","4","4","2","2","2"
"Copiah","16","14","12","2","6","5"
"Covington","2","2","3","1","0","0"
"DeSoto","33","32","39","4","8","6"
"Forrest","11","15","13","3","8","3"
"Franklin","1","4","4","2","1","0"
"George","1","0","0","3","1","3"
"Greene","0","0","1","0","0","2"
"Grenada","12","10","9","6","2","5"
"Hancock","5","2","4","2","3","2"
"Harrison","15","17","33","11","9","13"
"Hinds","56","43","36","20","11","11"
"Holmes","4","43","1","3","3","1"
"Humphreys","0","1","0","1","0","1"
"Issaquena","0","1","0","0","0","0"
"Itawamba","4","3","10","2","2","0"
"Jackson","16","14","4","3","2","3"
"Jasper","3","2","2","3","0","0"
"Jefferson","1","0","2","2","1","0"
"Jeff Davis","2","3","4","0","0","1"
"Jones","5","11","14","11","6","6"
"Kemper","0","1","3","0","0","0"
"Lafayette","5","0","6","1","3","1"
"Lamar","3","2","0","1","4","1"
