"JUN '06","JUN '05","JUN '04","JUN '03","JUN '02","TOTAL"
"18","18","12","13","15","143"
"61","66","70","52","89","591"
"1","5","2","2","1","31"
"9","17","21","7","15","96"
"0","1","0","2","3","23"
"2","2","1","6","19","57"
"4","8","5","3","9","46"
"24","49","36","38","20","235"
"1,367","1,367","1,326","1,263","1,424","14,163"
