"COUNTY","JUN ‘12","JUN '11","JUN '10","JUN '09","JUN '08","JUN '07"
"Warren","9","14","14","2","3","2"
"Washington","12","6","17","9","1","1"
"Wayne","8","1","1","2","2","3"
"Webster","5","3","6","3","1","6"
"Wilkinson","2","1","0","1","0","0"
"Winston","2","4","9","4","0","3"
"Yalobusha","1","0","5","1","1","2"
"Yazoo","6","7","9","3","2","3"
"TOTALS","578","623","733","312","214","234"
