"COUNTY","JUN ‘12","JUN '11","JUN '10","JUN '09","JUN '08","JUN '07"
"Warren","11","19","21","4","6","6"
"Washington","48","47","27","39","46","32"
"Wayne","6","4","2","2","3","5"
"Webster","5","1","4","3","7","10"
"Wilkinson","0","4","5","2","3","3"
"Winston","7","3","9","4","2","1"
"Yalobusha","6","4","3","4","0","1"
"Yazoo","16","5","15","16","8","26"
"TOTALS","1,270","1,381","1,247","1,182","1,085","1,243"
