"JUN '06","JUN '0","JUN '04","JUN '03","JUN '02","TOTAL"
"5","13","22","11","20","127"
"0","2","0","0","0","9"
"2","9","5","6","10","71"
"10","18","7","13","10","151"
"1","3","5","4","5","42"
"3","2","3","6","4","52"
"10","15","17","12","14","218"
"1","8","7","6","2","94"
"1","10","7","5","6","56"
"1","4","1","3","6","53"
"11","11","8","9","4","104"
"1","2","0","5","3","28"
"8","8","17","10","9","102"
"2","7","8","5","5","60"
"0","3","0","0","3","23"
"9","7","15","2","5","116"
"3","4","11","15","7","110"
"1","7","5","8","9","49"
"0","0","0","0","0","2"
"2","7","9","3","1","60"
"12","8","7","7","9","97"
"1","4","3","7","7","40"
"0","1","1","0","1","5"
"12","15","27","21","19","200"
"1","10","9","5","4","79"
"0","1","0","2","1","7"
"0","3","1","6","5","30"
"2","3","3","1","1","19"
"0","3","0","1","3","12"
"3","8","2","2","3","41"
"3","2","2","1","3","38"
"0","1","1","7","2","52"
"0","3","3","3","2","19"
"0","1","3","0","1","15"
"0","0","0","0","0","12"
"5","6","6","4","6","54"
"0","1","1","0","4","20"
