"JUN '06","JUN '05","JUN '04","JUN '03","JUN '02","TOTAL"
"16","33","6","19","19","177"
"25","46","25","25","24","354"
"9","22","28","12","11","145"
"2","2","5","11","9","51"
"1","1","1","3","6","51"
"15","15","27","31","43","224"
"4","5","2","9","20","85"
"9","14","10","3","2","58"
"28","17","36","18","17","216"
"2","2","1","5","5","32"
"11","1","1","4","5","32"
"0","1","0","1","1","7"
"10","26","10","12","10","117"
"21","12","17","12","6","148"
"18","8","17","12","19","124"
"0","1","7","4","3","56"
"26","27","16","15","17","251"
"48","56","24","36","54","462"
"0","7","0","14","5","64"
"28","19","30","29","28","206"
"0","6","0","7","7","49"
"1","0","7","8","5","65"
"26","14","5","11","10","191"
"27","68","87","74","93","1025"
"24","50","56","48","53","441"
"25","16","13","24","26","166"
"5","3","2","18","20","73"
"1","0","0","0","0","2"
"1","1","1","2","0","104"
"14","38","39","61","81","427"
"5","5","4","0","1","61"
"0","1","2","0","2","23"
"0","0","0","0","0","27"
"66","86","55","48","63","699"
"0","1","2","0","4","30"
"40","13","18","16","16","243"
"5","5","5","14","11","125"
