county,jail pop,min LOS,max LOS,median LOS
Adams,58,0,526,56
Alcorn,109,0,779,66
Amite,21,1,302,36
Attala,19,2,254,43
Benton,15,1,214,5
Bolivar,32,2,952,92.5
Calhoun,36,0,742,34
Carroll,15,117,460,253
Chickasaw,12,8,200,28.5
Choctaw,5,0,217,70
Claiborne,7,3,147,61
Clarke,19,3,904,64.5
Clay,85,1,2486,166
Coahoma,42,35,1622,342
Copiah,59,0,1543,22.5
Covington,44,2,1013,61.5
Desoto,185,0,920,41
Forrest,85,90,855,204
Franklin,3,124,430,252
George,66,1,1123,70
Greene,36,2,272,85
Grenada,41,121,626,250
Hancock,185,0,1348,34
Harrison,882,0,1138,79
Hinds,667,0,2129,150
Holmes,42,26,1424,167.5
Humphreys,6,320,1113,665
Issaquena,3,259,431,376
Itawamba,9,12,1044,174
Jackson,53,114,407,204
Jasper,25,1,552,69
Jefferson,4,10,17,13.5
Jefferson Davis,19,231,541,281
Jones,174,0,483,34.5
Kemper,32,1,411,58.5
Lafayette,36,1,652,46
Lamar,31,55,2185,158
Lauderdale,140,0,1159,127
Lawrence,13,8,287,93
Leake,26,2,483,86.5
Lee,20,96,706,195
Leflore,108,0,1741,44
Lincoln,64,0,268,50.5
Lowndes,213,0,2265,78
Madison,65,46,1387,192
Marion,30,86,1261,114.5
Marshall,52,0,673,23
Monroe,37,0,987,76
Montgomery,8,,,
Neshoba,87,2,524,50
Newton,14,12,398,151
Noxubee,11,20,929,174
Oktibbeha,21,2,696,55
Panola,85,2,1798,81
Pearl River,194,0,868,59.5
Perry,27,8,301,43
Pike,60,178,869,318.5
Pontotoc,31,5,655,87
Prentiss,26,70,847,164
Quitman,23,8,573,87
Rankin,279,1,1281,73
Scott,33,9,302,87
Sharkey,8,2,500,159
Simpson,17,13,672,150
Smith,16,1,648,77.5
Stone,23,1,583,37
Sunflower,47,0,1059,41
Tallahatchie,28,1,886,10.5
Tate,67,0,1518,39
Tippah,43,0,473,51
Tishomingo,18,12,344,75
Tunica,37,0,1139,74
Union,80,0,499,23.5
Walthall,23,5,785,90
Warren,103,1,711,77
Washington,87,3,970,137
Wayne,44,10,1011,108
Webster,8,6,724,41.5
Wilkinson,11,21,393,76
Winston,11,3,540,208
Yalobusha,28,6,615,81.5
Yazoo,5,957,1055,1049
