county,Adams,Clay,Hinds,Jasper,Jones,Kemper,Lee,Madison,Pearl River,Tunica
May 2019,12.4,384.8,469.3,120.3,98.6,23.8,155.3,415.1,151,243.4
November 2018,102,323,278,113,91,82,292,295,111,133
April 2018,126.3,253.6,274.2,193.3,111.3,123.7,287.2,285,126,252
