county,Adams,Clay,Hinds,Jasper,Jones,Kemper,Lee,Madison,Pearl River,Tunica
April 2018,65,65,625,373,179,9,28,79,262,11
November 2018,58,85,667,25,174,32,20,65,194,37
May 2019,49,81,347,44,161,12,118,52,192,18
