"INMATES","NO. OF OFFENDERS","% OF TOTALOFFENDERS",""
"Custody Population","18,086","48.19%",""
"Community Corrections (ERS, ISP, Medical Release)","2,104","5.61%",""
"Other Custody","200","0.53%",""
"At Large (Escapees & Walk-Aways)","66","0.18%",""
"Inmate Total","20,456","54.50%",""
"PAROLEES","1,666","4.44%",""
"PROBATIONERS","15,412","41.06%",""
"Parolees & Probationers Total","17,078","45.50%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","37,534","100.00%",""

