date,MSP,MSP_TVC,CMCF,CMCF_TVC,YOU,SMCI,SMCI_TVC,county_jails,community_work_centers,REGIONAL_CORRECTIONAL_FACILITIES,PRIVATE_PRISONS,RESTITUTION_CENTERS,TRANSITIONAL_HOUSING,Governor's_Mansion,E-CODE
2001-05-01,5170,,3046,,,1988,,1309,1265,2009,3256,6,,6,
2001-05-02,5198,,3028,,,1980,,1354,1266,2007,3255,11,,6,
2001-05-03,5208,,3044,,,1977,,1331,1270,2015,3240,12,,6,
2001-05-04,5225,,3035,,,1974,,1322,1261,2012,3228,14,,6,
2001-05-05,5225,,3036,,,1972,,1325,1260,2012,3228,14,,6,
2001-05-06,5223,,3036,,,1972,,1325,1260,2011,3228,14,,6,
2001-05-07,5220,,3070,,,1975,,1314,1274,2008,3230,13,,6,
2001-05-08,5245,,3041,,,1984,,1319,1280,2008,3217,13,,6,
2001-05-09,5262,,3001,,,1976,,1326,1273,2010,3218,13,,6,
2001-05-10,5256,,3002,,,1980,,1350,1271,2009,3209,18,,6,
2001-05-11,5272,,2983,,,1981,,1375,1246,2004,3205,17,,6,
2001-05-12,5271,,2987,,,1981,,1378,1244,2004,3205,17,,6,
2001-05-13,5270,,2987,,,1981,,1378,1245,2004,3203,17,,6,
2001-05-14,5277,,2964,,,1977,,1395,1268,2000,3198,18,,6,
2001-05-15,5270,,2945,,,1990,,1442,1269,2003,3201,18,,6,
2001-05-16,5287,,2934,,,1985,,1424,1269,2004,3202,18,,6,
2001-05-17,5284,,2965,,,1986,,1421,1268,2003,3202,18,,6,
2001-05-18,5269,,2956,,,1987,,1431,1213,2001,3210,18,,6,
2001-05-19,5268,,2955,,,1986,,1430,1213,2000,3209,18,,6,
2001-05-20,5266,,2952,,,1985,,1430,1213,2000,3209,18,,6,
2001-05-21,5298,,2939,,,1982,,1413,1271,1998,3212,18,,6,
2001-05-22,5293,,2938,,,2000,,1399,1277,2003,3212,18,,6,
2001-05-23,5287,,2986,,,1989,,1371,1273,2001,3210,18,,6,
2001-05-24,5302,,2989,,,1979,,1395,1284,1991,3218,18,,6,
2001-05-25,5300,,2972,,,2004,,1383,1283,1988,3218,18,,6,
2001-05-26,5297,,2972,,,2004,,1383,1283,1987,3217,18,,6,
2001-05-27,5295,,2974,,,2004,,1383,1282,1987,3217,18,,6,
2001-05-28,5293,,2974,,,2004,,1383,1282,1987,3216,18,,6,
2001-05-29,5307,,2983,,,2003,,1392,1275,1988,3215,18,,6,
2001-05-30,5320,,2985,,,2002,,1393,1272,1976,3213,18,,6,
2001-05-31,5306,,2981,,,2012,,1449,1271,1980,3210,18,,6,
2001-06-01,5334,,2967,,,1982,,1459,1204,1987,3211,18,,6,
2001-06-02,5334,,2965,,,1981,,1458,1205,1985,3211,18,,6,
2001-06-03,5334,,2964,,,1981,,1458,1204,1984,3210,18,,6,
2001-06-04,5333,,2972,,,1989,,1476,1265,1980,3209,18,,6,
2001-06-05,5362,,2979,,,1978,,1456,1266,1977,3204,18,,6,
2001-06-06,5377,,3000,,,1972,,1414,1263,1966,3209,17,,6,
2001-06-07,5371,,3006,,,1960,,1400,1265,1986,3208,17,,6,
2001-06-08,5381,,3008,,,1955,,1395,1242,1992,3216,15,,6,
