Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,449","3,204","1,543","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,763",294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,236"
28-Jan-11,"3,216","3,151","3,184","1,611","1,412",67,71,71,73,70,77,84,70,88,73,73,85,194,86,81,80,69,"3,005",232,224,239,221,224,220,223,285,226,224,223,224,240,"5,218",901,"1,364",924,"1,144",885,9,4,5,0,5,49,"20,860"
29-Jan-11,"3,215","3,148","3,182","1,611","1,409",66,71,71,73,70,77,83,69,88,73,73,84,194,87,81,80,69,"3,004",232,224,238,221,224,220,223,285,226,224,223,224,240,"5,215",901,"1,363",923,"1,143",885,9,4,5,0,5,49,"20,847"
30-Jan-11,"3,211","3,145","3,179","1,611","1,406",66,71,71,73,70,77,83,69,88,73,72,83,193,87,81,80,69,"3,003",231,224,238,221,224,220,223,285,226,224,223,224,240,"5,213",901,"1,363",923,"1,141",885,9,4,5,0,5,50,"20,832"
31-Jan-11,"3,212","3,150","3,170","1,648","1,432",66,73,72,78,68,79,84,70,86,79,73,83,197,88,81,84,71,"3,004",231,224,238,223,224,220,224,284,226,224,222,224,240,"5,211",901,"1,358",922,"1,142",888,10,4,5,1,5,7,"20,849"
Avg Population,"3,246","3,184","3,164","1,609","1,451",69,76,70,80,71,78,86,71,91,82,77,83,193,87,83,81,73,"3,003",233,224,242,222,224,218,224,283,225,223,223,222,240,"5,210",903,"1,358",901,"1,164",885,7,4,3,1,5,24,"20,904"
