Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,872","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,681"
10-Jul-13,"3,382","3,399",34,"3,230","2,320","1,487",88,69,73,70,86,83,63,77,86,79,93,92,232,98,78,62,58,"4,436",299,369,278,300,280,280,274,279,355,281,280,280,301,280,300,"4,311",0,"1,124",995,"1,298",894,12,5,4,3,0,0,"22,611"
11-Jul-13,"3,384","3,416",35,"3,237","2,326","1,481",88,69,72,70,85,81,63,76,89,77,93,92,230,100,76,62,58,"4,429",298,368,278,299,280,280,274,280,353,281,280,280,299,280,299,"4,302",0,"1,123",994,"1,298",887,12,5,4,3,0,0,"22,622"
12-Jul-13,"3,380","3,413",36,"3,232","2,341","1,473",89,75,64,68,85,81,70,74,87,72,92,88,238,98,74,60,58,"4,425",298,368,279,299,280,278,274,280,354,281,280,280,298,279,297,"4,298",0,"1,122",998,"1,290",888,11,5,3,3,0,0,"22,609"
13-Jul-13,"3,380","3,408",36,"3,230","2,351","1,462",89,75,64,68,85,80,70,74,87,72,92,88,228,98,74,60,58,"4,423",298,367,279,299,279,278,274,280,354,281,280,280,298,279,297,"4,293",0,"1,122",995,"1,289",887,11,5,3,3,0,0,"22,594"
14-Jul-13,"3,380","3,409",36,"3,229","2,351","1,462",89,75,64,68,85,81,70,74,87,72,92,87,228,98,74,60,58,"4,421",298,367,279,299,279,278,274,280,354,281,280,280,297,279,296,"4,287",0,"1,120",993,"1,288",886,11,5,3,3,0,0,"22,586"
15-Jul-13,"3,385","3,412",35,"3,231","2,341","1,491",92,77,71,71,85,84,68,75,87,74,93,88,233,100,74,61,58,"4,419",293,368,278,299,279,280,274,279,354,281,279,280,299,280,296,"4,296",0,"1,123",993,"1,292",888,11,5,3,3,0,0,"22,621"
16-Jul-13,"3,390","3,412",36,"3,234","2,339","1,498",92,76,71,71,85,84,70,75,87,77,93,88,233,100,74,65,57,"4,420",293,368,279,297,279,278,274,279,355,280,280,280,299,281,298,"4,303",0,"1,122",999,"1,294",888,11,5,3,3,0,0,"22,643"
17-Jul-13,"3,378","3,424",36,"3,231","2,356","1,496",92,77,71,70,88,84,70,75,87,77,91,87,234,97,74,65,57,"4,435",300,369,280,300,280,280,274,280,355,278,280,280,298,281,300,"4,307",0,"1,122",999,"1,300",886,10,4,3,3,0,0,"22,673"
18-Jul-13,"3,387","3,381",36,"3,228","2,341","1,468",92,71,70,70,87,80,69,72,83,76,93,83,233,98,72,61,58,"4,435",300,369,279,299,280,280,274,280,355,280,280,280,298,281,300,"4,313",0,"1,125",999,"1,299",890,12,4,5,3,0,0,"22,601"
