Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,661","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,0,"22,987"
1-Feb-08,"4,193","3,531","3,055","1,876","1,710",86,91,84,99,98,89,98,98,97,84,80,88,247,94,102,84,91,"3,079",294,280,278,280,274,279,278,279,280,278,279,"4,793",967,877,"1,000",0,955,994,12,6,4,2,5,68,"22,322"
2-Feb-08,"4,192","3,536","3,053","1,876","1,707",86,91,84,99,98,89,98,97,97,84,81,87,246,94,102,84,90,"3,077",294,280,278,280,274,278,278,279,280,278,278,"4,791",967,877,"1,000",0,954,993,12,6,4,2,5,63,"22,312"
3-Feb-08,"4,190","3,536","3,052","1,876","1,706",86,91,84,99,98,89,98,97,97,84,81,87,245,94,102,84,90,"3,075",293,280,278,280,274,278,277,279,280,278,278,"4,785",967,875,"1,000",0,950,993,12,6,4,2,5,63,"22,300"
4-Feb-08,"4,192","3,536","3,039","1,898","1,772",92,98,85,101,102,95,98,100,101,88,86,91,251,101,102,84,97,"3,068",288,280,278,280,273,278,277,279,280,278,277,"4,798",967,877,"1,000",0,956,998,12,6,4,2,5,3,"22,323"
5-Feb-08,"4,195","3,560","3,030","1,893","1,772",92,97,84,100,102,95,98,100,101,91,86,88,253,99,101,84,101,"3,075",292,280,279,280,273,277,280,279,279,278,278,"4,797",965,878,"1,000",0,956,998,12,6,4,2,5,2,"22,341"
6-Feb-08,"4,202","3,548","3,044","1,891","1,774",92,98,86,100,102,95,94,99,101,91,86,88,253,99,101,89,100,"3,076",291,279,280,280,271,276,280,279,280,280,280,"4,797",968,878,"1,000",0,953,998,13,6,5,2,5,4,"22,354"
7-Feb-08,"4,210","3,589","3,036","1,880","1,775",91,100,86,100,102,95,94,98,100,91,86,88,254,99,102,89,100,"3,070",290,278,280,279,271,272,280,280,280,280,280,"4,781",970,877,998,0,940,996,13,6,5,2,5,6,"22,365"
8-Feb-08,"4,203","3,571","3,036","1,881","1,694",87,92,82,98,102,91,83,93,99,83,84,82,250,95,98,78,97,"3,084",293,279,280,280,275,277,280,279,281,280,280,"4,796",970,878,996,0,956,996,14,6,6,2,5,72,"22,356"
9-Feb-08,"4,201","3,570","3,034","1,881","1,693",87,92,82,97,102,91,83,93,99,83,84,82,250,95,98,78,97,"3,080",293,279,280,280,275,277,280,278,280,278,280,"4,795",970,878,996,0,956,995,14,6,6,2,5,73,"22,346"
