date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,753","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,628"
10-Jul-12,"3,301","3,251","3,187","2,000","1,579",85,72,84,85,76,76,75,83,94,80,91,91,239,102,83,77,86,"4,352",299,368,279,300,280,280,271,278,340,276,280,281,239,280,301,"4,325",0,"1,365","1,000","1,057",903,13,5,4,4,0,8,"22,016"
11-Jul-12,"3,294","3,260","3,194","1,981","1,578",85,72,84,83,75,75,71,83,98,80,91,91,240,102,83,75,90,"4,351",298,368,278,300,279,280,270,280,339,279,280,281,239,280,300,"4,326",0,"1,366","1,000","1,057",903,12,5,3,4,0,9,"22,005"
12-Jul-12,"3,307","3,227","3,198","1,987","1,582",84,72,84,82,75,75,77,83,101,80,91,92,238,102,83,75,88,"4,350",296,368,277,299,279,280,274,280,340,279,280,280,240,279,299,"4,331",0,"1,366","1,000","1,061",904,12,5,3,4,0,7,"22,001"
13-Jul-12,"3,309","3,207","3,193","1,978","1,542",82,73,77,80,76,68,85,81,100,72,90,91,233,96,82,71,85,"4,347",296,369,276,299,280,279,275,280,339,279,280,279,239,281,296,"4,328",0,"1,366","1,000","1,058",904,11,5,3,3,0,65,"21,980"
14-Jul-12,"3,304","3,206","3,195","1,978","1,542",82,73,77,80,76,68,85,81,100,72,90,91,233,96,82,71,85,"4,341",296,369,276,299,280,279,275,280,338,279,280,278,238,280,294,"4,325",0,"1,365",999,"1,057",904,11,5,3,3,0,77,"21,979"
15-Jul-12,"3,303","3,203","3,194","1,978","1,541",82,73,77,80,76,68,85,80,100,72,90,91,233,96,82,71,85,"4,340",296,369,276,299,279,279,275,280,338,279,280,278,238,280,294,"4,323",0,"1,365",999,"1,055",904,11,5,3,3,0,80,"21,973"
16-Jul-12,"3,304","3,171","3,204","2,047","1,591",84,73,85,82,77,75,86,82,100,80,89,93,238,102,83,78,84,"4,345",296,369,276,299,280,277,274,279,340,280,280,278,238,280,299,"4,324",0,"1,364",998,"1,058",904,12,5,3,4,0,8,"22,006"
17-Jul-12,"3,298","3,208","3,208","2,016","1,590",84,73,82,82,80,74,86,81,101,80,89,93,240,101,83,78,83,"4,348",296,369,276,299,280,278,274,279,341,280,280,279,239,279,299,"4,321",0,"1,361",998,"1,058",904,12,5,3,4,0,6,"22,007"
18-Jul-12,"3,292","3,226","3,206","1,993","1,593",84,73,82,82,80,74,85,80,100,80,90,93,239,102,83,79,87,"4,352",299,368,276,300,280,279,274,278,340,281,281,279,237,281,299,"4,322",0,"1,361",998,"1,058",905,12,5,3,4,0,6,"22,002"
