Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,830",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,237"
1-Dec-17,"3,324","3,636",27,35,"2,638","1,201",841,0,0,57,61,58,0,0,64,15,61,45,88,47,146,13,14,52,13,56,51,0,"4,273",285,293,273,303,339,256,274,274,345,229,275,326,235,270,296,"3,132",0,"1,242",999,0,891,9,5,2,2,46,5,34,5,0,2,"19,162"
2-Dec-17,"3,324","3,635",27,35,"2,637","1,201",840,0,0,57,60,58,0,0,64,15,61,45,88,47,146,13,14,52,13,56,51,0,"4,272",285,293,273,302,339,256,274,274,345,229,275,326,235,270,296,"3,132",0,"1,242",999,0,891,9,5,2,2,46,5,34,5,0,2,"19,158"
3-Dec-17,"3,321","3,639",27,28,"2,636","1,201",840,0,0,57,60,58,0,0,64,15,61,45,88,47,146,13,14,52,13,56,51,0,"4,273",285,293,273,302,339,256,274,274,345,229,276,326,235,270,296,"3,131",0,"1,241",999,0,891,9,5,2,2,46,5,34,5,0,2,"19,151"
4-Dec-17,"3,293","3,637",27,28,"2,634","1,216",840,0,0,57,62,58,0,0,63,15,61,45,87,47,144,13,14,51,13,56,54,0,"4,266",285,294,271,301,339,255,274,277,341,228,276,325,235,270,295,"3,152",0,"1,265",999,0,888,9,5,2,2,46,5,34,5,0,2,"19,148"
5-Dec-17,"3,283","3,609",27,28,"2,650","1,226",838,0,0,56,61,58,0,0,63,15,61,45,87,47,145,13,13,52,12,56,54,0,"4,265",285,293,271,301,336,255,274,279,344,228,280,322,230,269,298,"3,148",0,"1,261","1,000",0,887,9,5,2,2,45,5,34,5,0,1,"19,128"
6-Dec-17,"3,257","3,616",27,28,"2,652","1,247",826,0,0,56,61,58,0,0,58,15,61,45,87,47,145,12,11,48,12,56,54,0,"4,284",296,292,271,301,339,269,274,276,342,228,280,320,229,267,300,"3,148",0,"1,261","1,000",0,887,9,5,2,2,46,5,34,6,0,1,"19,140"
7-Dec-17,"3,254","3,625",27,28,"2,655","1,245",822,0,0,56,61,57,0,0,58,15,61,45,87,46,145,12,10,47,12,56,54,0,"4,294",296,294,271,301,338,268,274,276,342,237,280,320,228,269,300,"3,156",0,"1,260",999,0,897,9,5,2,2,46,5,34,6,0,1,"19,161"
8-Dec-17,"3,297","3,574",27,18,"2,654","1,232",858,0,0,55,59,58,0,0,73,15,62,45,87,46,144,12,20,61,13,55,53,0,"4,299",294,293,269,301,335,265,274,274,346,253,278,324,228,266,299,"3,144",0,"1,248","1,000",0,896,9,5,2,2,38,4,24,5,0,5,"19,150"
9-Dec-17,"3,268","3,618",27,28,"2,657","1,250",813,0,0,55,59,58,0,0,56,15,62,45,87,46,143,12,10,44,13,55,53,0,"4,297",294,293,269,301,335,266,274,274,338,253,279,327,228,267,299,"3,134",0,"1,240",997,0,897,9,5,2,2,37,4,26,6,0,1,"19,138"
