Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity 1-Jan-18,"3,590","3,830",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,237"
,"3,365","3,477",26,26,"2,661","1,108",828,0,0,61,64,58,0,0,50,17,59,50,82,42,139,10,16,62,13,57,48,0,"4,356",294,291,264,304,342,278,271,277,342,279,280,325,234,278,297,"3,175",0,"1,254",998,0,923,11,5,4,2,33,4,16,6,0,7,"19,066"
2-Jan-18,"3,368","3,428",28,28,"2,659","1,085",815,0,0,59,64,57,0,0,48,17,59,50,82,40,135,10,15,61,13,57,48,0,"4,353",289,290,264,308,341,277,269,279,350,279,280,324,231,277,295,"3,177",0,"1,257",998,0,922,11,5,4,2,32,4,15,6,0,7,"18,984"
3-Jan-18,"3,382","3,439",26,27,"2,659","1,064",805,0,0,59,64,57,0,0,41,17,62,51,78,43,135,10,14,58,12,56,48,0,"4,340",287,293,264,308,341,275,268,279,343,277,280,322,231,277,295,"3,177",0,"1,256",999,0,922,11,5,4,2,32,4,15,6,0,7,"18,962"
4-Jan-18,"3,384","3,437",26,28,"2,653","1,062",807,0,0,60,66,57,0,0,40,17,62,51,78,42,135,10,14,58,12,56,49,0,"4,345",287,293,263,308,339,280,268,278,349,277,279,323,228,277,296,"3,174",0,"1,256",996,0,922,11,5,4,2,34,4,17,6,0,7,"18,961"
5-Jan-18,"3,387","3,428",26,28,"2,660","1,036",812,0,0,60,66,57,0,0,40,17,62,53,80,44,135,10,13,58,12,56,49,0,"4,362",294,293,263,308,342,279,268,276,353,280,280,323,228,276,299,"3,174",0,"1,245","1,000",0,929,10,5,3,2,34,4,17,6,0,7,"18,957"
6-Jan-18,"3,387","3,426",26,28,"2,659","1,036",810,0,0,60,66,57,0,0,39,17,62,53,80,44,135,10,13,57,12,56,49,0,"4,362",294,293,263,308,342,279,268,276,353,280,280,323,228,276,299,"3,172",0,"1,244",999,0,929,10,5,3,2,34,4,17,6,0,7,"18,950"
7-Jan-18,"3,384","3,428",26,28,"2,658","1,036",808,0,0,60,66,57,0,0,37,17,62,53,80,44,135,10,13,57,12,56,49,0,"4,362",294,293,263,308,342,279,268,276,353,280,280,323,228,276,299,"3,172",0,"1,244",999,0,929,10,5,3,2,34,4,17,6,0,7,"18,946"
8-Jan-18,"3,377","3,425",26,27,"2,654","1,064",801,0,0,58,66,57,0,0,36,17,62,53,80,43,134,10,13,57,11,55,49,0,"4,356",294,293,262,307,342,279,268,276,353,280,279,323,227,275,298,"3,169",0,"1,243",999,0,927,10,5,3,2,34,4,17,6,0,7,"18,943"
9-Jan-18,"3,373","3,422",26,27,"2,653","1,096",800,0,0,58,66,57,0,0,35,17,62,53,80,43,134,10,13,57,11,55,49,0,"4,352",293,293,262,306,341,279,268,276,353,279,279,323,227,275,298,"3,166",0,"1,242",998,0,926,10,5,3,2,33,3,17,6,0,7,"18,958"
10-Jan-18,"3,369","3,416",26,27,"2,650","1,130",790,0,0,58,66,57,0,0,32,17,62,53,80,43,134,10,11,52,11,55,49,0,"4,348",293,293,262,306,341,278,268,276,352,278,279,322,227,275,298,"3,164",0,"1,241",997,0,926,10,5,3,2,33,3,17,6,0,7,"18,963"
11-Jan-18,"3,366","3,412",26,27,"2,649","1,151",784,0,0,57,66,56,0,0,31,17,60,53,79,43,134,10,11,52,11,55,49,0,"4,339",292,292,262,306,341,278,268,275,352,276,278,321,226,274,298,"3,158",0,"1,240",996,0,922,10,5,3,2,31,3,15,6,0,7,"18,953"
12-Jan-18,"3,363","3,413",26,27,"2,643","1,177",754,0,0,50,64,54,0,0,31,17,60,50,79,43,126,10,11,51,9,51,48,0,"4,330",292,292,262,305,338,278,268,275,352,275,278,321,225,273,296,"3,157",0,"1,240",995,0,922,10,5,3,2,31,3,15,6,0,7,"18,931"
13-Jan-18,"3,362","3,413",26,27,"2,643","1,177",755,0,0,50,64,55,0,0,31,17,60,50,79,43,126,10,11,51,9,51,48,0,"4,325",292,292,262,304,337,278,268,274,352,274,278,321,224,273,296,"3,156",0,"1,240",994,0,922,10,5,3,2,31,3,15,6,0,7,"18,925"
14-Jan-18,"3,360","3,411",26,27,"2,643","1,177",755,0,0,50,64,55,0,0,31,17,60,50,79,43,126,10,11,51,9,51,48,0,"4,324",292,292,262,304,337,278,268,274,352,273,278,321,224,273,296,"3,156",0,"1,240",994,0,922,10,5,3,2,31,3,15,6,0,7,"18,920"
15-Jan-18,"3,359","3,411",26,27,"2,643","1,181",777,0,0,56,64,55,0,0,31,17,60,53,79,43,133,10,11,51,11,55,48,0,"4,322",292,292,262,303,337,278,268,274,352,273,278,321,224,273,295,"3,154",0,"1,240",994,0,920,10,5,3,2,31,3,15,6,0,7,"18,941"
16-Jan-18,"3,355","3,404",26,27,"2,636","1,182",769,0,0,56,64,54,0,0,30,17,60,53,78,42,131,10,11,50,10,55,48,0,"4,321",292,292,262,303,337,278,268,274,352,273,278,321,224,272,295,"3,153",0,"1,240",994,0,919,10,5,3,2,30,3,15,5,0,7,"18,913"
17-Jan-18,"3,359","3,402",26,26,"2,630","1,188",768,0,0,56,64,53,0,0,24,17,60,53,78,48,131,10,11,50,10,55,48,0,"4,310",292,289,261,303,337,277,266,274,352,272,278,321,223,272,293,"3,150",0,"1,237",994,0,919,9,4,3,2,30,3,15,5,0,7,"18,898"
