Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,830",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,237"
18-Feb-18,"3,392","3,337",24,0,"2,666","1,276",771,0,0,59,61,49,0,0,23,20,60,52,80,40,141,22,15,36,10,56,47,0,"4,349",293,291,280,306,336,279,274,277,345,278,280,327,214,273,296,"3,208",0,"1,286","1,000",0,922,11,5,4,2,38,2,24,8,0,4,"19,072"
19-Feb-18,"3,391","3,339",24,0,"2,666","1,276",781,0,0,61,61,50,0,0,23,20,61,54,80,41,144,22,15,36,10,56,47,0,"4,349",293,291,280,306,336,279,274,277,345,278,280,327,214,273,296,"3,205",0,"1,284",999,0,922,11,5,4,2,38,2,24,8,0,4,"19,080"
20-Feb-18,"3,393","3,354",24,0,"2,669","1,250",788,0,0,61,60,49,0,0,24,20,60,54,80,41,154,22,15,36,10,55,47,0,"4,329",293,290,278,304,337,279,274,274,336,276,278,326,217,270,297,"3,202",0,"1,281",999,0,922,11,5,4,2,37,2,23,8,0,4,"19,057"
21-Feb-18,"3,411","3,373",24,0,"2,670","1,231",777,0,0,61,57,49,0,0,24,20,58,53,82,38,154,22,14,34,11,55,45,0,"4,332",292,290,276,304,337,279,274,275,338,280,278,326,217,269,297,"3,202",0,"1,283",998,0,921,12,5,5,2,39,2,25,8,0,4,"19,071"
22-Feb-18,"3,409","3,392",24,0,"2,663","1,233",782,0,0,61,56,48,0,0,24,20,62,53,84,39,154,22,14,34,11,55,45,0,"4,324",292,287,275,302,336,279,274,274,339,280,278,327,217,268,296,"3,204",0,"1,279",998,0,927,12,5,5,2,40,2,25,8,0,5,"19,083"
23-Feb-18,"3,392","3,369",24,0,"2,654","1,245",795,0,0,58,55,48,0,0,25,20,61,53,83,42,153,22,23,45,11,52,44,0,"4,320",292,292,274,300,336,278,272,272,342,278,277,327,217,266,297,"3,212",0,"1,288",997,0,927,12,5,5,2,40,2,25,8,0,5,"19,063"
24-Feb-18,"3,391","3,369",24,0,"2,653","1,245",795,0,0,58,55,48,0,0,25,20,61,53,83,42,153,22,23,45,11,52,44,0,"4,320",292,292,274,300,336,278,272,272,342,278,277,327,217,266,297,"3,212",0,"1,288",997,0,927,12,5,5,2,40,2,25,8,0,5,"19,061"
25-Feb-18,"3,391","3,369",24,0,"2,653","1,245",795,0,0,58,55,48,0,0,25,20,61,53,83,42,153,22,23,45,11,52,44,0,"4,319",291,292,274,300,336,278,272,272,342,278,277,327,217,266,297,"3,211",0,"1,288",997,0,926,12,5,5,2,40,2,25,8,0,5,"19,059"
26-Feb-18,"3,398","3,365",24,0,"2,655","1,265",791,0,0,59,56,47,0,0,24,20,62,53,86,43,152,22,22,38,11,54,42,0,"4,300",290,289,277,297,335,277,272,270,342,276,277,324,216,265,293,"3,208",0,"1,288",996,0,924,12,5,5,2,39,2,24,8,0,5,"19,057"
27-Feb-18,"3,401","3,382",24,0,"2,650","1,260",779,0,0,59,56,46,0,0,24,20,62,49,87,46,151,22,20,34,11,50,42,0,"4,308",289,289,276,300,335,278,272,269,345,277,280,322,216,267,293,"3,207",0,"1,287",996,0,924,12,5,5,2,39,2,24,8,0,5,"19,062"
28-Feb-18,"3,394","3,368",24,0,"2,659","1,264",775,0,0,58,56,46,0,0,25,20,62,49,86,46,150,22,22,30,11,50,42,0,"4,302",287,293,276,300,334,280,272,268,344,274,280,320,216,266,292,"3,207",0,"1,281",999,0,927,12,5,5,2,39,2,24,8,0,5,"19,044"
Avg Population,"3,382","3,349",25,6,"2,660",1231,778,0,0,60,61,49,0,0,20,20,61,53,81,42,144,22,15,40,10,56,46,0,"4,339",291,291,277,304,337,279,272,276,345,277,279,325,215,273,297,"3,204",0,1284,997,0,923,11,5,4,2,39,3,24,8,0,5,"19,024"
