date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,668","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,468"
19-Feb-12,"3,228","3,077","3,153","2,171","1,373",92,70,72,81,80,82,63,77,91,76,46,70,176,81,72,65,79,"4,273",298,294,280,300,277,280,273,280,340,280,280,280,236,277,298,"4,167",0,"1,323",999,959,886,11,5,3,3,0,32,"21,485"
20-Feb-12,"3,228","3,072","3,153","2,176","1,398",92,71,74,83,81,84,63,78,91,79,46,70,182,83,73,67,81,"4,270",298,294,280,298,277,280,273,280,340,280,279,280,236,277,298,"4,162",0,"1,322",996,958,886,11,5,3,3,0,6,"21,476"
21-Feb-12,"3,228","3,084","3,151","2,166","1,389",92,70,74,79,81,83,62,76,90,78,47,70,183,82,72,67,83,"4,264",298,295,279,297,278,279,272,279,339,279,280,279,235,278,297,"4,166",0,"1,317",995,968,886,11,5,3,3,0,6,"21,465"
22-Feb-12,"3,235","3,079","3,161","2,196","1,386",91,70,73,79,81,81,61,76,89,78,49,70,185,82,72,66,83,"4,265",298,295,278,297,278,279,274,280,336,279,279,279,234,280,299,"4,168",0,"1,318",995,969,886,11,5,3,3,0,5,"21,506"
23-Feb-12,"3,251","3,054","3,172","2,178","1,385",91,70,73,79,81,81,61,76,88,78,52,70,185,80,72,66,82,"4,270",301,294,280,300,277,277,274,279,337,280,280,279,234,279,299,"4,176",0,"1,324",999,967,886,12,6,3,3,0,8,"21,506"
24-Feb-12,"3,245","3,060","3,156","2,205","1,371",88,69,70,81,82,81,58,72,87,73,60,75,181,75,75,63,81,"4,277",301,294,280,300,280,279,274,279,339,280,280,277,235,279,300,"4,181",0,"1,324",999,972,886,12,6,3,3,0,46,"21,553"
25-Feb-12,"3,244","3,058","3,152","2,205","1,365",88,68,70,81,81,81,58,72,87,73,60,75,180,74,75,63,79,"4,270",299,294,280,299,278,279,273,278,339,280,280,277,235,279,300,"4,180",0,"1,324",999,972,885,12,6,3,3,0,48,"21,534"
26-Feb-12,"3,241","3,055","3,152","2,205","1,365",88,68,70,81,82,81,58,72,87,73,60,75,179,74,75,63,79,"4,268",298,294,280,299,278,279,273,278,339,280,280,277,234,279,300,"4,174",0,"1,320",998,971,885,12,6,3,3,0,49,"21,521"
27-Feb-12,"3,238","3,078","3,157","2,219","1,404",91,68,71,82,80,84,57,75,87,78,74,75,185,76,76,66,79,"4,261",297,295,280,298,278,279,274,277,338,280,279,280,227,279,300,"4,172",0,"1,319","1,000",969,884,12,6,3,3,0,13,"21,554"
