date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC,Lefore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,82,20,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
28-May-16,"3,414","2,947",32,8,"3,006","1,446","1,183",0,22,75,89,78,0,0,80,19,93,90,90,85,172,34,14,76,99,67,0,"3,407",240,291,239,240,199,199,240,240,259,197,202,198,227,198,238,"3,924",0,"1,096",999,927,902,14,6,5,3,"19,381"
29-May-16,"3,414","2,946",32,8,"3,006","1,446","1,180",0,22,75,89,78,0,0,79,19,93,89,90,85,172,34,14,75,99,67,0,"3,406",240,291,239,240,199,199,240,240,259,197,202,197,227,198,238,"3,923",0,"1,096",999,927,901,14,6,5,3,"19,375"
30-May-16,"3,412","2,947",32,8,"3,004","1,446","1,179",0,22,75,89,78,0,0,79,19,93,89,90,85,172,33,14,75,99,67,0,"3,405",240,291,238,240,199,199,240,240,259,197,202,197,227,198,238,"3,921",0,"1,095",999,927,900,14,6,5,3,"19,368"
31-May-16,"3,398","2,963",32,8,"3,003","1,478","1,174",0,22,74,90,78,0,0,79,19,95,89,90,83,171,31,14,74,98,67,0,"3,405",239,293,237,240,198,199,240,240,259,197,201,199,226,197,240,"3,914",0,"1,094",999,922,899,14,6,5,3,"19,389"
Avg Population,"3,269","2,821",31,4,"2,903","1,432","1,124",0,23,75,82,75,0,0,72,18,89,87,80,84,163,29,18,71,96,62,0,"3,299",232,282,232,232,193,193,232,232,251,192,195,193,220,193,229,"3,791",0,"1,060",964,900,868,13,6,4,3,"18,688"
