date_raw,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,135","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,750",250,250,250,250,250,250,250,250,250,250,250,"4,750","1,000","1,000","1,000",750,"1,000",24,6,12,6,6,"21,807"
1-Jun-02,"5,324","2,961","2,047","1,749","1,226",67,70,72,68,68,68,71,71,73,65,75,55,126,72,68,69,68,"2,033",0,198,200,200,199,212,225,200,198,200,201,"3,586",842,500,867,508,869,16,6,8,2,6,"18,948"
2-Jun-02,"5,322","2,962","2,044","1,749","1,226",67,70,72,68,68,68,71,71,73,65,75,55,126,72,68,69,68,"2,033",0,198,200,200,199,212,225,200,198,200,201,"3,585",842,500,866,508,869,16,6,8,2,6,"18,943"
3-Jun-02,"5,320","2,979","2,063","1,742","1,283",74,72,75,73,72,74,75,72,75,71,74,56,126,74,74,71,75,"2,030",0,197,200,200,198,212,224,200,198,200,201,"3,585",842,500,866,508,869,16,6,8,2,6,"19,024"
4-Jun-02,"5,336","2,980","2,058","1,731","1,278",73,72,75,73,72,74,75,71,75,71,74,56,125,73,74,71,74,"2,028",0,197,200,199,197,212,224,200,198,200,201,"3,589",840,499,874,508,868,16,6,8,2,6,"19,022"
5-Jun-02,"5,330","2,991","2,074","1,729","1,272",73,71,75,73,72,74,75,70,75,70,74,56,121,74,74,71,74,"2,040",0,200,200,200,200,212,225,200,201,200,202,"3,593",846,500,871,507,869,16,6,8,2,6,"19,051"
6-Jun-02,"5,362","3,009","2,062","1,644","1,269",73,71,75,74,75,75,74,70,75,70,73,56,119,72,73,70,74,"2,037",0,201,200,200,200,211,224,200,200,200,201,"3,587",844,499,870,505,869,16,6,8,2,6,"18,992"
7-Jun-02,"5,354","2,991","2,079","1,737","1,211",68,69,71,74,71,73,75,63,70,70,72,53,113,71,65,68,65,"2,039",0,201,200,200,200,211,226,200,199,201,201,"3,598",844,499,869,518,868,14,4,8,2,6,"19,029"
8-Jun-02,"5,353","2,989","2,078","1,738","1,210",68,69,71,74,70,73,75,63,70,70,72,53,113,71,65,68,65,"2,038",0,201,200,200,199,211,226,200,199,201,201,"3,598",844,499,869,518,868,14,4,8,2,6,"19,024"
9-Jun-02,"5,350","2,987","2,076","1,737","1,210",68,69,71,74,70,73,75,63,70,70,72,53,113,71,65,68,65,"2,038",0,201,200,200,199,211,226,200,199,201,201,"3,597",844,499,868,518,868,14,4,8,2,6,"19,015"
10-Jun-02,"5,349","2,983","2,069","1,765","1,260",73,70,75,74,74,74,75,69,73,68,74,55,123,71,71,69,72,"2,037",0,201,199,200,199,211,226,200,198,203,200,"3,607",844,499,874,517,873,16,6,8,2,6,"19,092"
