date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,204","1,629","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,063",300,294,280,300,280,280,274,280,355,280,280,280,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,543"
1-Jun-11,"3,171","3,233","3,074","1,847","1,487",84,81,83,80,78,87,73,85,85,81,82,75,187,87,82,79,78,"3,113",89,235,223,247,224,224,218,224,285,224,224,224,223,249,"5,130",896,"1,353",999,999,883,11,5,6,0,5,6,"21,077"
2-Jun-11,"3,077","3,245","3,065","1,853","1,484",84,81,83,79,78,87,71,83,85,81,82,76,190,87,82,78,77,"3,204",177,234,223,248,224,224,219,224,285,223,224,223,224,252,"5,140",901,"1,351",999,"1,001",888,10,5,5,0,5,9,"21,092"
3-Jun-11,"3,092","3,182","3,127","1,862","1,460",84,76,79,75,76,81,73,83,88,78,82,73,190,82,86,75,79,"3,206",177,235,224,248,224,224,219,224,285,224,224,221,225,252,"5,122",892,"1,354",999,989,888,10,5,5,0,5,53,"21,119"
4-Jun-11,"3,089","3,183","3,127","1,862","1,458",84,76,79,75,76,81,73,83,88,78,82,73,189,81,86,75,79,"3,203",177,235,224,247,224,224,219,224,285,223,224,221,224,252,"5,120",892,"1,353",999,988,888,10,5,5,0,5,53,"21,110"
5-Jun-11,"3,088","3,182","3,127","1,862","1,456",84,76,79,74,76,81,73,83,88,78,82,73,189,81,86,74,79,"3,201",177,235,224,247,224,223,219,224,285,223,224,221,224,251,"5,117",891,"1,352",999,987,888,10,5,5,0,5,54,"21,102"
6-Jun-11,"3,094","3,221","3,132","1,816","1,494",84,82,81,78,78,87,75,83,89,80,81,74,191,84,91,76,80,"3,198",177,235,224,247,224,222,219,224,285,223,224,221,222,251,"5,119",902,"1,350",998,983,886,11,4,7,0,5,7,"21,097"
7-Jun-11,"3,067","3,228","3,130","1,787","1,489",85,81,81,78,77,86,75,83,89,79,80,73,190,86,91,75,80,"3,269",250,235,224,245,224,224,218,224,285,222,224,221,222,251,"5,120",901,"1,351",997,986,885,10,5,5,0,5,7,"21,112"
8-Jun-11,"3,073","3,255","3,135","1,757","1,498",85,86,81,78,77,85,78,83,89,79,80,73,193,85,91,75,80,"3,268",249,235,223,245,223,224,219,225,284,222,223,220,225,251,"5,117",897,"1,350","1,000",987,883,10,5,5,0,5,8,"21,126"
9-Jun-11,"3,077","3,233","3,131","1,769","1,495",84,86,80,78,78,85,78,83,87,79,80,72,192,89,91,75,78,"3,271",248,235,224,245,223,224,218,223,283,223,223,224,224,254,"5,128",899,"1,356","1,001",990,882,10,5,5,0,5,10,"21,129"
