Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
1-Nov-11,"3,050","3,090","3,185","2,006","1,486",89,84,77,81,81,86,74,91,86,72,66,69,194,89,89,74,84,"3,477",246,234,222,247,223,224,217,224,280,222,224,224,215,224,251,"5,176",901,"1,358",997,"1,025",895,10,4,3,3,5,3,"21,488"
2-Nov-11,"3,048","3,069","3,195","2,009","1,493",89,85,79,80,78,86,75,91,86,72,65,69,194,92,89,79,84,"3,489",250,234,223,250,224,224,219,224,278,225,224,224,214,225,251,"5,188",901,"1,357","1,000","1,033",897,10,4,3,3,5,3,"21,509"
3-Nov-11,"3,051","3,073","3,192","2,036","1,507",89,86,79,80,78,86,69,92,92,79,65,70,194,92,91,79,86,"3,481",247,232,223,249,224,224,219,224,280,224,222,224,214,225,250,"5,184",900,"1,356","1,000","1,035",893,10,4,3,3,5,4,"21,543"
4-Nov-11,"3,057","3,088","3,196","2,017","1,480",79,84,78,79,79,84,70,92,91,79,65,70,194,90,87,76,83,"3,490",248,235,223,249,224,224,219,224,280,224,226,224,214,225,251,"5,178",899,"1,356","1,000","1,031",892,10,4,3,3,5,34,"21,555"
5-Nov-11,"3,050","3,088","3,196","2,017","1,480",79,84,79,79,78,84,70,92,91,79,65,70,194,90,87,76,83,"3,489",248,235,223,249,224,224,219,224,280,224,226,224,214,225,250,"5,176",899,"1,354","1,000","1,031",892,10,4,3,3,5,33,"21,544"
6-Nov-11,"3,048","3,088","3,194","2,017","1,478",79,84,78,79,78,84,70,92,91,79,65,70,194,89,87,76,83,"3,489",248,235,223,249,224,224,219,224,280,224,226,224,214,225,250,"5,175",899,"1,354",999,"1,031",892,10,4,3,3,5,32,"21,536"
7-Nov-11,"3,050","3,095","3,192","2,049","1,498",88,87,77,78,78,83,72,90,92,79,65,69,195,91,89,79,86,"3,490",251,234,223,249,224,224,219,224,280,224,226,224,213,224,251,"5,167",899,"1,350","1,000","1,027",891,10,4,3,3,5,3,"21,559"
8-Nov-11,"3,048","3,095","3,205","2,057","1,491",88,87,77,76,78,82,71,90,92,79,66,69,195,90,87,78,86,"3,491",251,234,223,250,224,224,219,222,280,223,226,224,216,224,251,"5,168",901,"1,349",999,"1,029",890,10,4,3,3,5,4,"21,574"
9-Nov-11,"3,058","3,110","3,192","2,053","1,471",87,86,77,77,76,82,69,89,90,79,65,69,195,90,86,73,81,"3,495",250,234,224,250,224,224,219,222,284,224,226,224,215,224,251,"5,166",900,"1,349",998,"1,029",890,10,4,3,3,5,5,"21,565"
