Location,Mississippi State Penitentiary,MSP TVC,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,SMCI TVC,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"4,648",108,"3,469",58,158,"3,282",0,"2,006","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"25,737"
10-May-15,"3,123",86,"2,424",23,128,"2,462",96,"1,492","1,016",52,46,36,53,42,52,47,46,47,59,78,64,188,83,42,43,38,"4,141",297,345,272,300,256,257,257,256,329,255,269,276,233,264,275,"3,937",0,"1,128",999,921,889,0,5,2,1,"18,936"
11-May-15,"3,109",86,"2,456",23,127,"2,458",95,"1,501","1,035",53,46,42,52,42,52,49,44,47,59,79,63,190,87,42,46,42,"4,142",300,343,272,300,254,260,257,256,332,250,269,276,233,265,275,"3,937",0,"1,127",999,922,889,0,5,2,1,"18,977"
12-May-15,"3,118",84,"2,430",23,123,"2,459",99,"1,525","1,036",52,46,46,52,40,52,48,44,47,59,79,63,191,87,42,46,42,"4,161",300,349,271,300,254,260,257,258,333,253,271,276,232,269,278,"3,946",0,"1,130",999,928,889,0,5,2,1,"19,012"
13-May-15,"3,107",94,"2,440",23,118,"2,452",98,"1,511","1,037",51,46,47,52,40,52,47,44,47,58,85,64,188,86,42,46,42,"4,167",300,347,273,300,254,260,257,255,341,256,268,276,232,269,279,"3,959",0,"1,130",998,937,894,0,5,2,1,"19,014"
14-May-15,"3,102",91,"2,459",23,130,"2,451",96,"1,497","1,041",51,46,46,51,42,49,47,44,48,58,88,67,188,85,45,45,41,"4,159",300,346,272,300,253,259,257,255,340,256,267,274,232,269,279,"3,962",0,"1,130",997,942,893,0,5,3,1,"19,020"
15-May-15,"3,106",91,"2,432",23,136,"2,462",92,"1,513","1,030",49,45,43,46,41,46,45,44,54,55,87,67,185,92,52,42,37,"4,159",299,346,273,300,256,259,253,259,341,258,268,274,230,270,273,"3,957",0,"1,130",995,941,891,0,5,2,1,"19,009"
16-May-15,"3,104",90,"2,427",23,135,"2,462",91,"1,513","1,029",49,45,43,46,41,46,45,44,54,55,87,67,185,92,51,42,37,"4,156",299,346,272,300,256,259,253,259,341,258,268,273,230,270,272,"3,957",0,"1,130",995,941,891,8,5,2,1,"18,995"
17-May-15,"3,106",89,"2,429",23,132,"2,462",91,"1,513","1,028",49,45,43,45,41,46,45,44,54,55,87,67,185,92,51,42,37,"4,152",298,346,272,300,256,259,251,259,341,258,268,273,230,269,272,"3,958",0,"1,131",995,941,891,8,5,2,1,"18,991"
18-May-15,"3,113",87,"2,446",23,126,"2,456",89,"1,505","1,045",50,43,44,50,41,49,47,45,56,58,89,64,190,87,49,43,40,"4,153",297,349,272,300,254,261,250,259,342,256,268,275,230,271,269,"3,952",0,"1,128",993,940,891,8,5,2,1,"19,003"
