Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,435","3,665","3,204","1,486","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,163",294,280,280,280,274,280,355,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,795"
19-Dec-09,"3,938","3,246","2,896","1,479","1,794",89,102,95,101,101,98,99,96,100,90,86,93,249,102,96,97,100,"2,824",262,250,248,250,245,250,318,251,247,251,252,"5,294",902,"1,320",914,"1,207",951,10,6,3,1,6,14,"21,501"
20-Dec-09,"3,936","3,248","2,893","1,479","1,793",89,102,95,101,101,97,99,96,100,90,86,93,249,102,96,97,100,"2,823",261,250,248,250,245,250,318,251,247,251,252,"5,291",901,"1,320",914,"1,206",950,10,6,3,1,6,12,"21,491"
21-Dec-09,"3,942","3,245","2,903","1,498","1,798",89,101,95,102,100,100,102,96,102,90,86,93,248,102,93,97,102,"2,809",257,250,247,250,244,250,317,246,247,251,250,"5,285",901,"1,316",914,"1,204",950,10,6,3,1,6,11,"21,507"
22-Dec-09,"3,940","3,261","2,889","1,492","1,798",89,99,95,101,102,98,102,95,101,92,93,91,248,101,93,96,102,"2,809",259,248,248,250,244,250,317,245,250,251,247,"5,307",901,"1,317",914,"1,223",952,10,6,3,1,6,7,"21,519"
23-Dec-09,"3,941","3,231","2,894","1,499","1,793",90,99,95,101,102,98,102,93,99,92,93,91,248,102,93,96,99,"2,821",263,249,249,250,245,250,317,250,250,251,247,"5,314",903,"1,323",914,"1,223",951,10,6,3,1,6,9,"21,518"
24-Dec-09,"3,938","3,231","2,893","1,498","1,792",90,99,95,101,102,98,102,93,99,92,93,90,248,102,93,96,99,"2,820",263,249,249,250,245,250,316,250,250,251,247,"5,311",902,"1,322",914,"1,222",951,10,6,3,1,6,7,"21,506"
25-Dec-09,"3,932","3,231","2,892","1,498","1,788",90,99,94,101,102,98,102,93,99,92,93,90,247,102,92,95,99,"2,819",263,249,248,250,245,250,316,250,250,251,247,"5,309",902,"1,321",913,"1,222",951,10,6,3,1,6,7,"21,492"
26-Dec-09,"3,930","3,229","2,893","1,498","1,784",90,98,93,100,102,98,102,93,99,92,92,90,247,102,92,95,99,"2,818",263,249,247,250,245,250,316,250,250,251,247,"5,306",902,"1,320",912,"1,222",950,10,6,3,1,6,7,"21,481"
27-Dec-09,"3,930","3,226","2,891","1,498","1,783",90,98,93,100,102,98,102,93,99,92,92,89,247,102,92,95,99,"2,817",263,249,247,249,245,250,316,250,250,251,247,"5,304",901,"1,320",912,"1,221",950,10,6,3,1,6,10,"21,475"
