Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,638","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,0,"22,964"
19-May-08,"4,173","3,735","3,126","2,046","1,791",89,100,94,102,101,101,97,102,99,88,85,89,246,100,100,97,101,"3,081",294,280,277,280,274,280,279,279,280,279,279,"4,798",972,895,997,0,955,979,11,4,4,3,6,5,"22,772"
20-May-08,"4,177","3,729","3,138","2,034","1,779",89,102,95,100,100,101,96,102,99,84,86,87,247,100,100,92,99,"3,080",294,280,277,280,273,279,279,280,280,279,279,"4,792",969,892,"1,000",0,951,980,12,5,4,3,6,3,"22,750"
21-May-08,"4,171","3,761","3,125","2,012","1,776",89,102,95,99,100,101,96,102,94,84,86,89,247,100,100,93,99,"3,081",294,280,278,280,273,278,280,279,280,279,280,"4,799",968,896,"1,000",0,956,979,13,5,4,4,6,4,"22,748"
22-May-08,"4,167","3,752","3,115","2,007","1,806",89,102,96,101,102,102,102,102,101,92,90,88,247,102,99,92,99,"3,079",294,279,278,280,273,277,280,280,279,279,280,"4,801",970,895,"1,000",0,955,981,13,5,4,4,6,4,"22,750"
23-May-08,"4,185","3,693","3,138","1,999","1,820",92,102,95,101,101,101,102,101,98,92,91,92,247,102,102,99,102,"3,083",293,280,280,280,274,280,280,279,278,279,280,"4,792",970,894,"1,000",0,945,983,14,5,5,4,6,2,"22,732"
24-May-08,"4,182","3,692","3,138","1,999","1,813",92,102,95,100,101,100,102,101,98,92,90,91,246,101,101,99,102,"3,083",293,280,280,280,274,280,280,279,278,279,280,"4,789",969,894,999,0,944,983,14,5,5,4,6,1,"22,717"
25-May-08,"4,181","3,690","3,136","1,999","1,812",92,102,95,100,101,100,102,101,97,92,90,91,245,102,101,99,102,"3,079",292,279,280,280,274,280,280,279,278,277,280,"4,786",968,894,998,0,943,983,14,5,5,4,6,0,"22,703"
26-May-08,"4,179","3,688","3,133","2,005","1,812",92,102,95,100,101,100,102,101,97,92,90,91,245,102,101,99,102,"3,078",293,279,279,279,274,280,280,279,278,277,280,"4,784",968,894,998,0,942,982,14,5,5,4,6,0,"22,699"
27-May-08,"4,193","3,703","3,117","1,993","1,816",92,102,96,100,101,100,100,101,100,92,90,91,247,101,101,100,102,"3,077",292,277,279,279,274,280,280,278,279,280,279,"4,788",970,893,"1,000",0,942,983,14,5,5,4,6,3,"22,710"
