date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,534","3,381","2,395","1,786","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,082",294,280,280,280,274,274,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,116"
1-Nov-06,"4,559","3,354","2,259","1,824","1,784",89,101,93,101,102,101,102,102,102,91,88,86,219,102,102,102,101,"3,077",294,280,278,280,274,274,279,280,279,279,280,"4,863",969,863,993,128,946,964,13,5,6,2,5,4,"21,742"
2-Nov-06,"4,552","3,346","2,261","1,825","1,772",92,100,96,100,98,98,101,101,102,91,87,85,217,102,101,100,101,"3,079",294,279,280,279,274,274,280,280,279,280,280,"4,844",966,862,992,128,937,959,13,5,6,2,5,3,"21,700"
3-Nov-06,"4,557","3,361","2,255","1,821","1,740",83,97,95,101,98,99,96,102,100,89,83,86,215,101,101,98,96,"3,074",294,280,280,279,272,271,280,280,280,278,280,"4,842",970,862,994,128,932,956,12,5,5,2,5,46,"21,713"
4-Nov-06,"4,555","3,359","2,254","1,821","1,737",83,97,95,102,97,99,96,102,100,88,82,86,214,101,101,98,96,"3,072",294,280,280,278,272,271,279,280,280,278,280,"4,838",970,862,994,128,930,954,12,5,5,2,5,45,"21,698"
5-Nov-06,"4,546","3,360","2,253","1,821","1,733",83,97,95,101,97,99,95,102,100,88,82,86,213,101,100,98,96,"3,071",294,280,280,278,272,271,279,280,279,278,280,"4,838",970,862,994,128,930,954,12,5,5,2,5,46,"21,685"
6-Nov-06,"4,536","3,407","2,249","1,808","1,764",90,102,94,101,101,101,98,102,98,86,85,87,220,101,101,100,97,"3,067",294,281,280,277,272,271,280,280,278,277,277,"4,830",970,861,994,128,925,952,12,5,5,2,5,5,"21,683"
7-Nov-06,"4,532","3,381","2,260","1,803","1,769",90,100,93,102,101,102,102,102,98,86,82,87,220,102,101,100,101,"3,077",293,281,280,280,274,274,280,279,280,279,277,"4,849",972,862,995,128,937,955,12,5,5,2,5,4,"21,692"
8-Nov-06,"4,519","3,407","2,275","1,807","1,777",91,101,92,102,100,101,101,102,101,91,84,86,222,101,100,101,101,"3,072",293,281,275,279,274,274,280,278,279,279,280,"4,839",970,866,995,128,937,943,12,5,5,2,5,4,"21,717"
9-Nov-06,"4,505","3,390","2,261","1,822","1,775",92,101,93,102,99,101,98,102,101,90,85,92,223,99,96,100,101,"3,067",292,280,275,279,272,275,279,280,279,279,277,"4,859",968,870,994,128,947,952,12,5,5,2,5,6,"21,702"
