Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,529","3,233","2,306","2,177","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"3,058",294,280,280,280,274,250,280,280,280,280,280,"5,100",972,"1,000","1,000",128,"1,000","1,000",16,6,6,4,6,,"22,241"
10-Jan-06,"4,347","3,135","2,104","1,634","1,743",91,96,91,93,99,102,97,99,100,91,82,85,225,95,98,99,100,"3,037",292,279,278,280,271,242,278,280,279,280,278,"4,762",968,843,983,127,917,924,14,4,5,5,5,3,"20,784"
11-Jan-06,"4,335","3,138","2,098","1,677","1,740",91,96,91,92,99,102,96,98,99,91,82,85,225,96,98,99,100,"3,041",293,280,280,279,271,242,279,280,279,280,278,"4,756",967,842,983,127,915,922,14,4,5,5,5,5,"20,809"
12-Jan-06,"4,329","3,143","2,094","1,711","1,731",90,97,91,91,99,102,96,98,100,91,82,86,221,91,98,98,100,"3,041",293,280,280,279,272,242,279,280,279,280,277,"4,750",963,841,982,127,915,922,15,5,5,5,5,8,"20,827"
13-Jan-06,"4,321","3,119","2,114","1,718","1,607",80,90,85,82,89,94,90,89,93,87,78,75,215,87,92,88,93,"3,038",294,280,280,279,270,242,279,280,278,280,276,"4,742",962,841,982,127,910,920,11,3,5,3,5,124,"20,799"
14-Jan-06,"4,317","3,118","2,110","1,718","1,607",80,90,85,82,89,94,90,89,93,87,78,75,215,87,92,88,93,"3,038",294,280,280,279,270,242,279,280,278,280,276,"4,743",962,841,983,127,910,920,11,3,5,3,5,121,"20,788"
15-Jan-06,"4,314","3,114","2,106","1,718","1,608",80,90,85,80,89,95,92,89,93,87,78,75,215,87,92,88,93,"3,037",294,280,280,279,269,242,279,280,278,280,276,"4,739",961,841,982,127,910,918,11,3,5,3,5,120,"20,772"
16-Jan-06,"4,309","3,111","2,106","1,721","1,716",89,97,91,89,97,102,95,97,98,91,79,84,221,89,99,98,100,"3,034",294,280,280,279,269,241,278,280,278,280,275,"4,736",960,840,982,127,909,918,17,5,5,7,5,3,"20,758"
17-Jan-06,"4,307","3,136","2,096","1,673","1,729",89,97,92,89,97,101,95,101,100,91,78,84,221,95,99,98,102,"3,044",294,280,280,279,274,243,278,280,278,280,278,"4,750",961,835,995,128,908,923,17,5,5,7,5,5,"20,762"
18-Jan-06,"4,301","3,179","2,102","1,618","1,730",88,97,91,95,97,102,95,100,99,90,77,84,220,96,99,98,102,"3,038",293,280,280,278,274,243,277,280,276,278,279,"4,760",970,835,994,128,907,926,17,5,5,7,5,5,"20,755"
