Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilikinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,TOTALS
Capacity,"5,551","3,049","2,214","2,137","1,328",75,75,75,75,75,75,75,75,75,75,75,75,128,75,75,75,75,"2,500",250,250,250,250,250,250,250,250,250,250,"3,900","1,000",500,"1,000",500,900,24,6,12,6,6,"20,709"
21-Jan-02,"5,318","2,911","2,071","1,560","1,288",74,72,75,70,74,74,70,74,75,75,66,73,121,75,74,71,75,"1,965",0,212,214,213,225,240,214,216,215,216,"3,580",856,490,877,475,882,17,5,11,1,6,"18,716"
22-Jan-02,"5,306","2,920","2,048","1,543","1,291",74,72,75,75,74,74,70,74,75,75,65,72,121,75,75,70,75,"1,982",0,216,215,215,229,241,217,216,216,217,"3,584",856,489,879,478,882,17,5,11,1,6,"18,697"
23-Jan-02,"5,304","2,911","2,068","1,521","1,281",74,71,75,75,74,72,69,70,75,75,65,70,120,73,74,74,75,"1,980",0,216,214,215,229,241,216,215,218,216,"3,578",855,487,876,478,882,17,5,11,1,6,"18,666"
24-Jan-02,"5,317","2,904","2,070","1,542","1,275",75,70,75,75,74,74,69,70,73,74,64,69,119,73,74,73,74,"1,975",0,216,213,214,229,240,216,213,218,216,"3,573",854,487,875,475,882,17,5,11,1,6,"18,679"
25-Jan-02,"5,317","2,867","2,048","1,558","1,225",69,70,74,73,70,67,64,73,72,71,64,65,117,70,65,71,70,"1,973",0,216,213,213,230,239,216,212,219,215,"3,590",857,493,880,476,884,16,4,11,1,6,"18,600"
26-Jan-02,"5,313","2,868","2,048","1,556","1,225",69,70,74,73,70,68,64,73,72,71,63,65,117,70,65,71,70,"1,972",0,216,213,213,229,239,216,212,219,215,"3,589",856,493,880,476,884,16,4,11,1,6,"18,593"
27-Jan-02,"5,312","2,867","2,048","1,556","1,222",68,70,73,73,70,68,64,73,72,71,63,65,117,70,65,71,69,"1,972",0,216,213,213,229,239,216,212,219,215,"3,588",856,493,880,476,883,16,4,11,1,6,"18,587"
28-Jan-02,"5,323","2,859","2,040","1,582","1,267",74,74,74,73,75,75,68,73,74,73,62,67,118,74,71,70,72,"1,960",0,216,212,212,229,234,215,208,219,215,"3,588",855,497,880,474,882,17,5,11,1,6,"18,642"
29-Jan-02,"5,299","2,865","2,033","1,614","1,273",74,74,75,75,75,75,73,73,74,71,65,66,117,74,70,70,72,"1,958",0,216,212,212,229,234,214,208,218,215,"3,579",847,497,878,474,883,17,5,11,1,6,"18,644"
30-Jan-02,"5,283","2,881","2,034","1,619","1,273",74,74,75,75,75,75,73,72,74,70,66,66,118,74,70,70,72,"1,955",0,217,212,210,229,234,214,206,218,215,"3,571",843,497,876,473,882,17,5,11,1,6,"18,639"
31-Jan-02,"5,288","2,886","2,031","1,621","1,271",74,74,75,75,75,75,73,72,74,70,65,66,118,74,70,70,71,"1,954",0,217,211,208,229,233,218,205,218,215,"3,566",844,497,876,467,882,17,5,11,1,6,"18,640"
