date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,753","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,628"
19-Jul-12,"3,305","3,234","3,196","1,971","1,596",84,73,81,82,81,78,84,80,100,80,91,93,239,102,83,79,86,"4,349",298,368,277,300,280,279,274,278,340,279,281,280,237,280,298,"4,317",0,"1,360",997,"1,056",904,12,5,3,4,0,9,"21,989"
20-Jul-12,"3,299","3,223","3,181","2,018","1,566",84,73,77,79,83,77,82,74,100,76,91,83,238,98,81,79,91,"4,338",298,367,277,300,280,276,273,277,340,279,281,279,236,279,296,"4,311",0,"1,360","1,000","1,047",904,12,5,3,4,0,31,"21,979"
21-Jul-12,"3,296","3,217","3,181","2,018","1,562",84,72,75,79,83,77,83,74,100,76,91,83,238,98,80,78,91,"4,332",298,367,275,300,279,275,273,277,340,278,281,279,235,279,296,"4,310",0,"1,360","1,000","1,046",904,13,5,4,4,0,31,"21,960"
22-Jul-12,"3,294","3,217","3,182","2,018","1,557",84,72,75,79,81,77,83,73,100,76,92,82,238,98,80,77,90,"4,330",298,367,275,300,279,275,273,277,340,278,281,279,234,279,295,"4,307",0,"1,358","1,000","1,046",903,13,5,4,4,0,0,"21,918"
23-Jul-12,"3,294","3,174","3,202","2,015","1,594",84,84,77,82,81,81,79,90,97,79,91,84,238,100,81,77,89,"4,331",298,367,274,299,279,275,272,278,340,278,281,279,234,278,299,"4,308",0,"1,359",996,"1,049",904,12,5,3,4,0,7,"21,937"
24-Jul-12,"3,304","3,174","3,200","2,021","1,587",91,80,76,83,81,81,79,80,97,79,91,84,240,98,81,77,89,"4,337",298,367,274,299,280,275,275,278,339,279,280,280,233,279,301,"4,310",0,"1,357",996,"1,051",906,12,5,3,4,0,8,"21,953"
25-Jul-12,"3,323","3,168","3,210","1,997","1,590",91,81,77,80,81,78,79,78,97,79,90,90,240,97,81,77,94,"4,347",299,367,280,299,279,280,275,279,339,279,280,279,233,279,300,"4,306",0,"1,349","1,000","1,052",905,12,5,3,4,0,9,"21,962"
26-Jul-12,"3,334","3,157","3,207","1,988","1,595",89,81,79,82,84,80,78,78,97,79,90,92,240,96,80,76,94,"4,345",297,369,280,299,280,280,275,276,339,279,280,279,233,279,300,"4,295",0,"1,339",999,"1,053",904,12,5,3,4,0,7,"21,940"
27-Jul-12,"3,335","3,170","3,209","1,991","1,587",89,81,79,81,82,76,76,81,97,77,92,91,239,97,78,74,97,"4,343",298,369,280,299,278,279,275,276,339,278,280,278,232,282,300,"4,286",0,"1,330",999,"1,053",904,12,5,3,4,0,24,"21,957"
