Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,818","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,611"
10-Jan-13,"3,361","3,401",18,"3,236","2,080","1,445",90,64,76,76,69,61,62,71,83,79,90,91,233,97,67,53,83,"4,337",299,365,273,298,275,277,274,278,338,278,280,277,252,273,300,"4,323",0,"1,120",997,"1,302",904,13,5,5,3,0,8,"22,222"
11-Jan-13,"3,366","3,398",18,"3,233","2,103","1,358",88,65,70,71,65,53,58,64,76,70,87,88,225,88,62,49,79,"4,324",299,363,272,294,275,275,274,278,337,278,280,276,252,271,300,"4,302",0,"1,120",997,"1,281",904,12,5,4,3,0,91,"22,205"
12-Jan-13,"3,363","3,395",19,"3,233","2,103","1,355",88,65,70,71,64,53,58,64,76,70,87,87,225,88,62,49,78,"4,321",299,363,272,294,275,274,274,278,336,278,280,276,252,271,299,"4,301",0,"1,120",996,"1,281",904,12,5,4,3,0,91,"22,193"
13-Jan-13,"3,363","3,395",18,"3,233","2,103","1,353",87,65,70,71,64,53,58,63,76,70,87,87,225,88,62,49,78,"4,320",299,363,272,294,275,273,274,278,336,278,280,276,252,271,299,"4,299",0,"1,118",996,"1,281",904,12,5,4,3,0,91,"22,187"
14-Jan-13,"3,366","3,402",18,"3,230","2,129","1,437",88,66,75,76,68,61,62,70,82,79,90,90,232,97,65,53,83,"4,308",298,362,272,294,274,273,274,278,333,277,280,275,251,268,299,"4,293",0,"1,118",994,"1,279",902,13,5,5,3,0,7,"22,203"
15-Jan-13,"3,363","3,403",19,"3,228","2,157","1,431",89,66,71,76,68,60,62,70,82,79,90,90,231,96,65,53,83,"4,304",298,362,272,293,274,272,274,278,333,277,280,275,251,267,298,"4,290",0,"1,117",993,"1,279",901,13,5,5,3,0,5,"22,213"
16-Jan-13,"3,359","3,402",19,"3,223","2,185","1,428",89,66,70,75,67,60,62,70,82,79,90,89,229,96,67,53,84,"4,295",298,359,272,292,273,272,274,278,332,276,279,275,251,266,298,"4,285",0,"1,117",992,"1,275",901,12,5,4,3,0,6,"22,214"
17-Jan-13,"3,356","3,402",19,"3,219","2,204","1,421",89,66,70,73,67,60,62,69,82,79,90,88,228,96,66,53,83,"4,287",297,356,272,292,273,272,274,278,332,275,278,275,250,266,297,"4,279",0,"1,117",991,"1,270",901,12,5,4,3,0,7,"22,206"
18-Jan-13,"3,322","3,366",19,"3,210","2,246","1,425",87,64,67,68,62,53,73,67,86,74,92,87,230,95,73,59,88,"4,285",299,355,271,300,271,272,272,278,330,275,278,275,250,265,294,"4,277",0,"1,112",999,"1,265",901,13,5,6,2,0,36,"22,199"
