date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
19-Mar-16,"3,381","2,883",29,3,"2,785","1,476","1,174",0,31,74,77,68,37,0,18,72,101,85,84,82,169,27,9,71,99,70,0,"3,419",240,294,239,238,200,200,240,238,260,194,198,200,238,200,240,"3,953",0,"1,127",997,935,894,10,4,5,1,"19,113"
20-Mar-16,"3,380","2,882",29,3,"2,784","1,476","1,172",0,31,73,77,68,37,0,18,70,101,85,84,82,170,27,9,71,99,70,0,"3,417",240,294,239,237,200,199,240,238,260,194,198,200,238,200,240,"3,954",0,"1,127",998,935,894,10,4,5,1,"19,107"
21-Mar-16,"3,377","2,918",28,3,"2,785","1,494","1,194",0,31,73,77,67,40,0,18,70,101,91,87,86,176,27,10,69,101,70,0,"3,413",239,293,240,237,202,199,240,235,259,194,200,200,237,199,239,"3,952",0,"1,128",997,933,894,13,5,6,2,"19,177"
22-Mar-16,"3,384","2,921",28,3,"2,779","1,520","1,190",0,31,73,77,67,40,0,19,71,100,91,90,86,173,27,8,68,99,70,0,"3,408",238,293,240,240,202,199,240,235,257,194,200,200,237,196,237,"3,958",0,"1,128",997,940,893,12,4,6,2,"19,203"
23-Mar-16,"3,372","2,900",27,3,"2,818","1,527","1,186",0,30,72,76,71,40,0,20,71,94,91,90,87,176,27,8,64,97,72,0,"3,408",238,294,240,239,200,200,240,240,256,194,197,200,237,197,236,"3,958",0,"1,126","1,000",939,893,12,4,6,2,"19,211"
24-Mar-16,"3,372","2,865",27,3,"2,855","1,535","1,189",0,30,73,78,71,40,0,20,72,95,91,90,89,174,25,7,63,99,72,0,"3,419",237,294,239,238,199,200,240,240,260,200,197,200,240,196,239,"3,955",0,"1,126","1,000",937,892,11,4,5,2,"19,231"
25-Mar-16,"3,378","2,820",27,7,"2,887","1,534","1,182",0,30,72,78,70,37,0,20,76,92,89,88,89,170,25,7,66,99,74,0,"3,419",237,294,239,238,200,199,239,239,257,200,202,199,239,197,240,"3,950",0,"1,126",998,930,896,11,4,5,2,"19,215"
26-Mar-16,"3,377","2,819",27,7,"2,888","1,534","1,179",0,30,72,77,70,37,0,20,76,92,89,88,89,170,24,7,66,98,74,0,"3,418",237,294,239,238,200,199,239,238,257,200,202,199,239,197,240,"3,949",0,"1,126",998,930,895,11,4,5,2,"19,209"
27-Mar-16,"3,373","2,818",27,7,"2,885","1,534","1,179",0,30,72,77,70,37,0,20,76,92,89,88,89,171,24,7,65,98,74,0,"3,418",237,294,239,238,200,199,239,238,257,200,202,199,239,197,240,"3,949",0,"1,126",998,930,895,11,4,5,2,"19,201"
