date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,3590,"3,858",58,,"3,082","1,781","1,348",0,0,96,102,102,0,0,82,20,102,92,93,93,182,28,50,82,20,102,102,0,"4,494",300,369,280,310,280,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,199"
24-Dec-16,"3,349","3,394",29,5,"3,060","1,209",960,0,0,59,80,63,0,0,57,8,76,83,74,54,163,4,23,62,13,77,64,0,"3,913",240,291,236,266,250,224,273,279,350,200,271,316,223,240,254,"3,075",0,"1,184",994,0,897,11,4,6,1,"19,005"
25-Dec-16,"3,349","3,396",29,5,"3,060","1,209",959,0,0,59,80,63,0,0,56,8,76,83,74,54,163,4,23,62,13,77,64,0,"3,916",241,292,237,266,250,224,273,279,350,200,271,316,223,240,254,"3,071",0,"1,182",992,0,897,11,4,6,1,"19,005"
26-Dec-16,"3,348","3,397",29,4,"3,061","1,209",955,0,0,59,80,62,0,0,56,8,76,83,73,54,163,4,23,60,13,77,64,0,"3,913",241,292,237,266,249,224,273,278,350,200,271,315,223,240,254,"3,071",0,"1,182",992,0,897,11,4,6,1,"18,998"
27-Dec-16,"3,346","3,399",28,4,"3,055","1,198",943,0,0,59,78,59,0,0,55,10,76,81,72,54,165,4,21,55,13,77,64,0,"3,894",240,294,234,266,244,224,271,278,350,200,266,315,221,239,252,"3,067",0,"1,182",990,0,895,9,4,4,1,"18,943"
28-Dec-16,3341,3352,27,3,3059,1226,964,0,0,59,78,59,0,0,65,10,80,81,79,54,165,4,21,55,13,77,64,0,"3,895",240,294,234,265,243,222,274,278,352,200,266,315,220,239,253,"3,078",0,"1,182","1,000",0,896,9,4,4,1,"18,954"
29-Dec-16,3360,3397,27,3,3063,1177,967,0,0,66,78,58,0,0,63,10,75,81,83,54,166,4,23,58,11,75,62,0,"3,883",239,294,233,264,242,222,274,278,352,200,263,313,220,237,252,"3,076",0,"1,181",999,0,896,9,4,4,1,"18,962"
30-Dec-16,3381,3396,27,3,3065,1173,976,0,0,66,78,58,0,0,64,10,75,86,83,54,167,4,23,58,11,77,62,0,"3,870",238,293,228,259,242,224,274,279,350,200,263,313,219,237,251,"3,080",0,"1,179",997,0,904,9,4,4,1,"18,980"
31-Dec-16,3381,3391,27,3,3064,1173,974,0,0,66,78,58,0,0,64,10,75,86,83,54,167,4,23,56,11,77,62,0,"3,869",238,293,227,259,242,224,274,279,350,200,263,313,219,237,251,"3,079",0,"1,179",997,0,903,9,4,4,1,"18,970"
Avg Population,3350,3320,30,6,3053,1244,930,0,0,63,77,55,0,0,55,9,73,78,80,50,158,3,22,56,14,74,64,0,"3,946",240,292,242,270,260,230,270,278,350,200,272,319,223,242,260,"3,068",0,1175,997,0,896,12,5,6,2,"18,958"
