Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East MS,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,760","3,233","2,214","2,203","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"5,088",960,"1,000","1,000",128,"1,000","1,000",18,6,6,6,6,,"22,088"
1-Oct-04,"4,800","3,192","2,162","2,041","1,670",88,99,91,96,97,92,91,95,99,86,60,83,218,100,93,84,98,"2,732",247,248,250,249,243,249,250,249,250,248,249,"4,616",957,870,994,0,804,991,10,5,3,2,5,35,"21,263"
2-Oct-04,"4,798","3,190","2,158","2,041","1,667",88,99,92,96,97,92,91,95,99,86,60,82,217,100,93,83,97,"2,730",247,248,250,249,242,249,250,248,250,248,249,"4,614",956,870,993,0,804,991,11,5,4,2,5,34,"21,248"
3-Oct-04,"4,796","3,190","2,158","2,041","1,669",88,99,92,96,97,92,91,95,99,86,60,82,217,100,93,84,98,"2,728",247,248,250,249,242,249,250,248,250,248,247,"4,614",956,870,993,0,804,991,11,5,4,2,5,32,"21,244"
4-Oct-04,"4,793","3,188","2,164","2,027","1,702",90,101,94,102,97,94,95,95,100,92,61,82,220,100,94,87,98,"2,737",248,250,250,250,244,250,250,249,250,249,247,"4,619",957,870,993,0,804,995,12,5,4,3,5,2,"21,249"
5-Oct-04,"4,817","3,162","2,152","2,032","1,704",92,101,93,101,97,97,95,95,100,91,61,82,221,99,94,87,98,"2,746",248,250,250,249,249,250,250,250,250,250,250,"4,618",960,869,991,0,804,994,12,5,4,3,5,3,"21,251"
6-Oct-04,"4,811","3,171","2,183","2,004","1,702",92,98,92,101,102,96,95,95,100,90,64,83,221,99,94,87,93,"2,739",248,249,246,249,248,250,249,250,250,250,250,"4,620",959,869,994,0,807,991,12,5,4,3,5,3,"21,250"
7-Oct-04,"4,838","3,147","2,179","1,995","1,697",90,97,92,101,102,96,94,95,99,87,63,82,221,99,93,87,99,"2,741",248,250,246,250,248,250,249,250,250,250,250,"4,603",959,869,994,0,798,983,12,5,4,3,5,5,"21,222"
8-Oct-04,"4,785","3,117","2,196","1,993","1,676",83,93,88,102,98,94,90,92,100,90,62,81,219,100,92,96,96,"2,738",248,249,249,250,245,249,250,250,250,249,249,"4,627",958,875,994,0,808,992,10,3,4,3,5,55,"21,202"
9-Oct-04,"4,785","3,116","2,192","1,993","1,670",83,93,88,102,97,94,90,91,100,90,60,81,217,100,92,96,96,"2,738",248,249,249,250,245,249,250,250,250,249,249,"4,626",957,875,995,0,808,991,10,3,4,3,5,55,"21,190"
