date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,627","3,665","3,204","1,752","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"24,178"
1-May-09,"4,106","3,436","3,101","1,757","1,643",80,93,80,87,86,83,90,86,99,84,81,80,248,97,94,79,96,"2,930",279,266,264,266,259,266,266,266,266,266,266,"5,487",954,"1,364",982,"1,213",974,12,5,5,2,6,27,"22,505"
2-May-09,"4,104","3,436","3,099","1,757","1,641",80,93,80,87,86,83,90,86,98,84,81,80,248,97,94,79,95,"2,930",279,266,264,266,259,266,266,266,266,266,266,"5,486",954,"1,363",982,"1,213",974,12,5,5,2,6,26,"22,497"
3-May-09,"4,101","3,433","3,098","1,757","1,639",81,93,80,87,86,83,90,86,98,84,81,80,248,97,94,79,92,"2,928",279,266,264,266,258,266,266,265,266,266,266,"5,485",953,"1,363",982,"1,213",974,12,5,5,2,6,26,"22,485"
4-May-09,"4,112","3,435","3,097","1,728","1,619",80,86,78,87,84,86,88,87,98,82,77,80,251,95,90,78,92,"2,922",278,266,264,264,255,266,266,265,266,266,266,"5,487",952,"1,364",982,"1,215",974,11,5,4,2,6,6,"22,423"
5-May-09,"4,105","3,452","3,094","1,713","1,625",86,88,77,86,84,86,88,86,98,81,82,80,251,93,89,78,92,"2,924",278,266,265,264,256,265,266,266,266,266,266,"5,492",953,"1,364",980,"1,218",977,11,5,4,2,6,8,"22,430"
6-May-09,"4,087","3,480","3,096","1,703","1,626",86,88,77,86,83,90,86,85,98,81,82,80,251,89,94,78,92,"2,927",279,266,264,265,259,265,266,265,266,266,266,"5,495",957,"1,363",983,"1,218",974,11,5,4,2,6,11,"22,442"
7-May-09,"4,088","3,499","3,075","1,717","1,544",81,84,74,85,79,86,83,81,94,74,81,71,238,90,82,73,88,"2,917",279,265,263,264,258,265,265,264,265,264,265,"5,494",956,"1,366",983,"1,213",976,10,4,4,2,6,9,"22,359"
8-May-09,"4,078","3,471","3,097","1,742","1,526",78,81,70,85,78,85,82,79,93,72,81,69,245,89,80,71,88,"2,919",280,265,264,264,258,265,265,265,265,264,264,"5,490",955,"1,365",982,"1,211",977,9,3,4,2,6,28,"22,366"
9-May-09,"4,076","3,470","3,095","1,742","1,527",78,81,70,85,78,85,82,79,93,72,81,69,245,90,80,71,88,"2,919",280,265,264,264,258,265,265,265,265,264,264,"5,488",955,"1,365",981,"1,210",977,9,3,4,2,6,28,"22,360"
