Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,665","3,282","1,678","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,553"
10-Jun-12,"3,289","3,156","3,182","2,056","1,588",90,86,71,88,79,81,80,85,97,76,90,88,230,97,75,86,89,"4,344",298,368,278,299,277,278,274,277,339,280,279,280,240,278,299,"4,296",0,"1,361",979,"1,056",900,11,4,3,4,0,28,"21,950"
11-Jun-12,"3,293","3,182","3,183","2,049","1,596",90,86,72,89,81,81,80,83,97,78,90,89,229,99,76,84,92,"4,346",298,368,279,299,279,279,274,278,339,278,278,280,239,280,298,"4,295",0,"1,362",979,"1,054",900,11,4,3,4,0,3,"21,958"
12-Jun-12,"3,293","3,174","3,187","2,033","1,611",90,86,71,89,81,81,80,82,92,78,92,88,241,101,82,85,92,"4,341",298,366,279,299,277,280,274,279,338,278,280,279,237,279,298,"4,302",0,"1,361",979,"1,060",902,10,4,2,4,0,4,"21,955"
13-Jun-12,"3,292","3,203","3,194","2,015","1,602",92,83,72,88,81,81,78,82,88,77,91,91,240,100,81,85,92,"4,346",298,367,279,299,279,280,274,279,337,280,280,279,236,280,299,"4,300",0,"1,359",978,"1,061",902,10,4,2,4,0,5,"21,967"
14-Jun-12,"3,282","3,205","3,183","2,043","1,602",92,82,71,88,81,80,78,82,89,76,91,91,243,100,81,85,92,"4,349",297,369,280,300,280,280,273,280,337,280,279,280,236,280,298,"4,308",0,"1,361",982,"1,061",904,10,4,2,4,0,3,"21,985"
15-Jun-12,"3,267","3,236","3,184","2,058","1,572",92,78,69,88,77,76,74,78,87,75,91,92,242,99,80,83,91,"4,351",296,369,280,300,280,280,274,280,340,278,278,281,235,280,300,"4,289",0,"1,360",982,"1,045",902,10,4,2,4,0,41,"22,008"
16-Jun-12,"3,269","3,235","3,184","2,058","1,570",92,77,69,88,77,76,74,78,87,75,91,92,242,99,80,83,90,"4,348",296,368,280,299,280,280,274,279,340,278,278,281,235,280,300,"4,288",0,"1,360",982,"1,044",902,10,4,2,4,0,42,"22,004"
17-Jun-12,"3,267","3,237","3,179","2,058","1,571",92,77,69,88,77,76,74,78,87,75,91,92,242,99,81,83,90,"4,345",296,368,280,299,280,279,274,279,340,278,278,281,233,280,300,"4,288",0,"1,360",982,"1,044",902,10,4,2,4,0,43,"21,998"
18-Jun-12,"3,275","3,244","3,185","2,063","1,599",92,81,70,88,81,79,82,81,89,74,92,92,240,102,81,85,90,"4,347",299,366,280,299,280,280,274,279,340,279,279,281,232,280,299,"4,289",0,"1,357",980,"1,050",902,10,4,2,4,0,7,"22,019"
