Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"3,356","3,449","3,256","1,616","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,363",300,294,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"23,882"
28-Dec-11,"3,059","3,067","3,139","2,032","1,456",81,82,79,85,87,85,73,90,92,78,54,58,187,91,84,65,85,"3,991",295,235,224,248,280,280,274,280,281,280,279,280,231,224,300,"4,661",448,"1,323",999,"1,001",890,10,3,3,4,5,7,"21,427"
29-Dec-11,"3,072","3,047","3,150","2,011","1,454",80,83,77,84,87,85,71,91,92,78,52,58,189,90,85,65,87,"4,001",295,236,226,249,280,281,276,280,281,281,279,281,231,224,301,"4,676",446,"1,326",999,"1,012",893,10,3,3,4,5,10,"21,436"
30-Dec-11,"3,065","3,050","3,152","2,012","1,449",80,83,76,84,87,84,71,91,92,78,50,58,188,90,85,65,87,"4,000",300,235,226,249,279,281,275,280,281,280,279,280,231,224,300,"4,673",446,"1,324",999,"1,012",892,9,3,2,4,5,10,"21,425"
31-Dec-11,"3,058","3,049","3,150","2,012","1,448",80,83,76,84,86,84,71,91,92,78,50,58,188,90,85,65,87,"3,996",299,235,226,249,279,280,275,279,281,280,279,280,231,224,299,"4,671",446,"1,323",999,"1,011",892,9,3,2,4,5,9,"21,407"
Avg Population,"3,064","3,065","3,170","2,032","1,470",81,83,81,84,87,82,75,89,91,78,56,61,189,91,88,68,86,"3,834",288,234,224,249,256,255,258,258,283,242,271,272,232,223,290,"4,798",581,"1,322",998,"1,007",890,10,3,3,4,5,10,"21,460"
