date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore TVC,Leflore TVC Support,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Rankin RID,Flowood TVC,Simpson TVC,Simpson TVC Support,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TRANSITIONAL HOUSING,Madison,Noxubee,Rankin/Flowood,Washington,Wilkinson,TOTALS
Capacity,"3,590","3,830",58,0,"3,082","1,781","1,188",0,0,96,102,102,0,0,82,20,62,58,93,93,178,28,50,82,20,60,62,0,"4,556",300,369,280,310,342,280,274,280,355,280,280,326,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,164,40,34,8,42,40,"24,237"
18-Dec-17,"3,344","3,527",27,27,"2,660","1,182",835,0,0,57,60,54,0,0,67,15,60,46,84,45,140,12,20,57,13,54,51,0,"4,354",295,293,266,308,340,266,272,280,352,272,276,325,236,279,294,"3,151",0,"1,246",997,0,908,9,5,2,2,38,2,22,5,0,9,"19,154"
19-Dec-17,"3,339","3,537",26,28,"2,659","1,173",819,0,0,57,60,54,0,0,63,15,60,45,82,44,140,12,19,51,13,54,50,0,"4,364",295,292,272,308,341,274,272,279,351,273,279,323,236,278,291,"3,153",0,"1,245","1,000",0,908,9,5,2,2,35,2,20,5,0,8,"19,142"
20-Dec-17,"3,352","3,496",26,28,"2,666","1,156",836,0,0,62,59,61,0,0,62,15,59,45,82,48,141,12,19,50,13,59,49,0,"4,371",295,291,271,307,340,273,269,277,352,277,282,324,234,280,299,"3,158",0,"1,245",998,0,915,9,5,2,2,38,4,20,6,0,8,"19,136"
21-Dec-17,"3,344","3,528",26,28,"2,655","1,142",832,0,0,62,58,61,0,0,60,16,61,45,82,47,140,12,18,50,13,58,49,0,"4,368",295,291,270,305,340,272,272,275,352,278,280,326,234,279,299,"3,158",0,"1,245",998,0,915,10,5,3,2,38,4,20,6,0,8,"19,129"
22-Dec-17,"3,360","3,494",26,28,"2,661","1,134",838,0,0,62,65,60,0,0,57,16,61,50,81,47,140,12,18,50,13,57,49,0,"4,360",294,290,268,304,341,271,271,279,345,280,280,324,233,279,301,"3,173",0,"1,252",997,0,924,11,5,4,2,36,4,18,6,0,8,"19,121"
23-Dec-17,"3,359","3,504",26,28,"2,661","1,134",835,0,0,62,65,60,0,0,55,16,61,50,81,47,140,12,18,49,13,57,49,0,"4,358",294,290,268,304,341,270,271,279,344,280,280,324,233,279,301,"3,163",0,"1,252",987,0,924,11,5,4,2,36,4,18,6,0,8,"19,115"
24-Dec-17,"3,358","3,493",26,28,"2,661","1,134",835,0,0,62,65,60,0,0,55,16,61,50,81,47,140,12,18,49,13,57,49,0,"4,357",294,290,267,304,341,270,271,279,344,280,280,324,233,279,301,"3,173",0,"1,252",997,0,924,11,5,4,2,36,4,18,6,0,8,"19,112"
25-Dec-17,"3,357","3,494",26,28,"2,661","1,134",832,0,0,62,65,60,0,0,54,16,61,50,81,47,140,12,18,47,13,57,49,0,"4,357",294,290,267,304,341,270,271,279,344,280,280,324,233,279,301,"3,173",0,"1,252",997,0,924,11,5,4,2,36,4,18,6,0,8,"19,109"
26-Dec-17,"3,357","3,493",26,28,"2,660","1,134",828,0,0,62,65,60,0,0,53,16,61,50,81,47,140,12,18,44,13,57,49,0,"4,356",294,290,266,304,341,270,271,279,344,280,280,324,233,279,301,"3,173",0,"1,252",997,0,924,11,5,4,2,36,4,18,6,0,8,"19,102"
27-Dec-17,"3,367","3,508",26,28,"2,656","1,114",826,0,0,62,65,60,0,0,53,16,58,50,84,46,141,11,17,44,13,57,49,0,"4,348",294,288,266,304,341,270,269,279,344,279,280,324,231,279,300,"3,176",0,"1,255",997,0,924,11,5,4,2,34,4,16,6,0,8,"19,094"
28-Dec-17,"3,373","3,467",26,27,"2,653","1,111",832,0,0,61,65,58,0,0,53,16,59,50,82,42,138,11,17,62,13,57,48,0,"4,245",294,288,266,304,342,280,269,277,344,170,280,326,229,279,297,"3,173",0,"1,251","1,000",0,922,11,5,4,2,34,4,16,6,0,8,"18,952"
29-Dec-17,"3,366","3,481",26,26,"2,661","1,107",830,0,0,61,64,58,0,0,52,16,59,50,82,42,139,10,17,62,13,57,48,0,"4,357",294,292,264,304,342,278,272,276,342,279,280,325,234,278,297,"3,178",0,"1,254",998,0,926,11,5,4,2,33,4,16,6,0,7,"19,076"
30-Dec-17,"3,365","3,484",26,26,"2,661","1,107",831,0,0,61,64,58,0,0,52,17,59,50,82,42,139,10,17,62,13,57,48,0,"4,356",294,291,264,304,342,278,272,276,342,279,280,325,234,278,297,"3,176",0,"1,254",998,0,924,11,5,4,2,33,4,16,6,0,7,"19,076"
31-Dec-17,"3,366","3,482",26,26,"2,661","1,107",831,0,0,61,64,58,0,0,52,17,59,50,82,42,139,10,17,62,13,57,48,0,"4,356",294,291,264,304,342,278,272,276,342,279,280,325,234,278,297,"3,175",0,"1,254",998,0,923,11,5,4,2,33,4,16,6,0,7,"19,074"
Avg Population,"3,324",3551,27,27,2656,1184,835,0,0,58,61,58,0,0,61,15,61,47,85,46,142,12,16,53,13,56,51,0,4321,293,292,269,303,339,267,273,276,345,258,278,324,233,274,298,3154,0,1250,998,0,906,10,5,3,2,39,4,24,6,0,6,"19,128"
