date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,CMCF TVC,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Lefore TVC Support,Lefore TVC,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Flowood TVC,Simpson TVC support,Simpson TVC,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,TOTALS
Capacity,"3,590","3,506",58,,"3,082","1,986","1,848",92,102,96,102,102,102,102,20,82,102,92,93,93,260,,20,82,102,102,102,"4,378",240,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,"24,436"
1-Mar-16,"3,390","2,838",30,5,"2,799","1,517","1,140",0,33,72,81,68,40,0,20,24,101,88,83,86,177,22,8,78,79,64,16,"3,418",239,295,240,238,199,196,239,238,256,200,198,200,240,200,240,"3,937",0,"1,131",995,933,878,12,5,5,2,"19,086"
2-Mar-16,"3,388","2,863",30,5,"2,802","1,524","1,141",0,33,75,82,69,39,0,20,23,101,88,83,84,177,22,8,77,83,63,14,"3,406",239,293,240,237,199,196,237,236,255,199,198,201,238,200,238,"3,936",0,"1,132",994,932,878,12,5,5,2,"19,107"
3-Mar-16,"3,375","2,818",30,5,"2,803","1,541","1,173",0,33,74,82,69,39,0,22,44,101,92,83,86,179,22,8,78,88,61,12,"3,414",239,294,239,240,200,199,237,235,255,199,200,201,238,200,238,"3,950",0,"1,131",998,932,889,12,5,5,2,"19,121"
4-Mar-16,"3,374","2,847",30,6,"2,798","1,533","1,163",0,33,69,81,73,39,0,21,45,95,90,81,86,177,27,8,76,94,68,0,"3,405",239,293,238,240,198,199,235,239,254,198,200,200,238,194,240,"3,942",0,"1,130",997,929,886,14,6,6,2,"19,112"
5-Mar-16,"3,374","2,849",30,6,"2,802","1,533","1,159",0,33,68,81,73,36,0,21,45,95,90,81,86,177,27,8,76,94,68,0,"3,405",239,293,239,239,198,199,235,239,254,198,200,200,238,194,240,"3,940",0,"1,130",997,929,884,14,6,6,2,"19,112"
6-Mar-16,"3,374","2,850",30,6,"2,803","1,533","1,158",0,33,68,81,73,36,0,21,45,95,90,81,86,177,27,8,75,94,68,0,"3,402",239,293,239,239,198,199,235,239,252,197,200,200,238,194,240,"3,938",0,"1,128",997,929,884,14,6,6,2,"19,108"
7-Mar-16,"3,390","2,851",30,6,"2,807","1,560","1,168",0,33,72,81,74,39,0,20,45,96,92,83,85,176,26,8,74,94,70,0,"3,411",239,295,240,239,197,200,238,236,253,198,200,199,238,199,240,"3,935",0,"1,127",997,927,884,14,6,6,2,"19,172"
8-Mar-16,"3,382","2,834",30,6,"2,796","1,561","1,173",0,33,73,79,74,39,0,20,46,96,92,84,89,176,26,8,74,94,70,0,"3,424",238,294,240,239,200,199,238,239,259,200,200,199,241,198,240,"3,948",0,"1,127",996,931,894,14,6,6,2,"19,168"
9-Mar-16,"3,379","2,852",30,6,"2,796","1,555","1,172",0,33,73,81,75,39,0,20,46,96,92,83,90,174,25,8,73,95,69,0,"3,422",238,293,241,238,200,200,237,240,259,200,200,200,241,198,237,"3,954",0,"1,132",999,930,893,13,5,6,2,"19,179"
