date_raw,Mississippi State Penitentiary,Central Mississippi Correctional Facility,South Mississippi Correctional Institution,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Tallahatchie County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"4,527","3,665","3,204","1,661","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"3,088",294,280,280,280,274,280,280,280,280,280,280,"4,972",972,"1,000","1,000",0,"1,000","1,000",16,6,6,4,6,0,"22,987"
10-Feb-08,"4,198","3,568","3,031","1,881","1,694",87,92,82,97,102,91,83,93,99,83,84,82,250,95,98,79,97,"3,074",293,277,280,280,274,277,280,278,280,277,278,"4,792",969,878,995,0,956,994,14,6,6,2,5,72,"22,329"
11-Feb-08,"4,217","3,556","3,037","1,884","1,761",89,99,84,99,102,94,91,98,101,90,85,88,254,102,102,85,98,"3,081",293,278,280,280,276,280,280,279,279,277,279,"4,789",969,872,"1,000",0,955,993,14,6,6,2,5,6,"22,350"
12-Feb-08,"4,207","3,566","3,049","1,910","1,761",90,99,83,99,99,94,91,98,101,90,84,88,254,101,102,90,98,"3,088",294,280,280,280,276,280,280,280,279,279,280,"4,782",969,873,999,0,949,992,14,6,6,2,5,5,"22,387"
13-Feb-08,"4,212","3,595","3,055","1,910","1,764",92,97,83,99,99,94,94,98,100,90,84,91,254,101,102,90,96,"3,082",293,280,280,280,275,277,280,279,280,279,279,"4,778",972,869,999,0,948,990,14,6,6,2,5,7,"22,422"
14-Feb-08,"4,210","3,606","3,058","1,916","1,773",92,94,84,102,99,97,94,98,100,90,82,92,254,101,102,90,102,"3,076",293,280,279,280,271,277,280,278,280,279,279,"4,788",972,867,"1,000",0,954,995,14,6,6,2,5,8,"22,454"
15-Feb-08,"4,222","3,594","3,077","1,895","1,710",86,90,81,97,97,95,91,91,99,85,79,87,246,98,98,90,100,"3,081",294,280,279,279,271,280,280,279,280,279,280,"4,770",969,863,999,0,945,994,14,6,6,2,5,73,"22,441"
16-Feb-08,"4,219","3,594","3,076","1,895","1,706",85,90,81,97,97,96,91,91,99,85,78,86,246,97,97,90,100,"3,079",293,280,279,279,270,280,280,279,280,279,280,"4,765",966,863,998,0,944,994,14,6,6,2,5,72,"22,425"
17-Feb-08,"4,216","3,594","3,076","1,895","1,707",84,90,81,97,97,96,91,92,99,85,78,86,246,98,97,90,100,"3,078",293,280,279,279,270,280,280,278,280,279,280,"4,761",965,863,996,0,944,993,14,6,6,2,5,70,"22,416"
18-Feb-08,"4,217","3,595","3,074","1,894","1,771",90,94,84,101,99,97,94,98,102,90,81,91,254,100,101,94,101,"3,075",293,280,279,279,269,280,280,278,280,277,280,"4,757",964,862,994,0,944,993,13,5,6,2,5,3,"22,404"
