Location,Mississippi State Penitentiary,Central Mississippi Correctional Facility,Youthful Offender Unit,South Mississippi Correctional Institution,County Jails,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Alcorn County,Bolivar County,Carroll County,Chickasaw County,George County,Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Washington County,Winston County,Yazoo County,PRIVATE PRISONS,Delta,East Mississippi,Marshall County,Walnut Grove,Wilkinson County,RESTITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION    (CLOSED),E-CODE,TOTALS
Capacity,"4,648","3,557",42,"3,282","1,905","1,848",92,102,96,102,102,102,102,102,102,92,93,93,260,102,102,102,102,"4,438",300,369,280,300,280,280,274,280,355,280,280,280,300,280,300,"5,972",972,"1,500","1,000","1,500","1,000",16,6,6,4,6,0,"25,714"
19-Nov-13,"3,383","3,290",39,"3,215","2,075","1,384",88,66,75,69,77,67,63,69,78,73,91,89,224,79,67,52,57,"4,416",284,369,278,298,280,280,274,279,354,279,280,280,299,281,301,"4,410",0,"1,197",997,"1,313",903,12,5,5,2,0,0,"22,224"
20-Nov-13,"3,375","3,318",39,"3,217","2,053","1,388",88,67,74,69,77,68,63,71,77,76,91,89,224,79,66,52,57,"4,417",283,369,280,298,280,280,274,280,355,279,280,280,299,280,300,"4,413",0,"1,200",997,"1,313",903,12,4,6,2,0,0,"22,232"
21-Nov-13,"3,378","3,316",38,"3,206","2,047","1,394",92,66,74,69,77,67,63,69,79,76,93,89,222,83,65,54,56,"4,421",283,369,280,300,280,280,274,280,355,279,280,280,300,280,301,"4,417",0,"1,200",997,"1,317",903,12,4,6,2,0,0,"22,229"
22-Nov-13,"3,368","3,323",38,"3,196","2,065","1,403",92,69,73,72,77,67,64,71,76,76,93,92,218,83,71,53,56,"4,416",283,369,280,300,280,280,274,279,355,280,280,280,299,279,298,"4,412",0,"1,200","1,000","1,310",902,12,4,6,2,0,0,"22,233"
23-Nov-13,"3,368","3,323",38,"3,197","2,062","1,402",92,69,73,71,77,67,64,71,76,75,93,92,219,83,71,53,56,"4,413",283,369,279,300,279,280,274,279,355,280,280,280,298,279,298,"4,410",0,"1,199",999,"1,310",902,12,4,6,2,0,0,"22,225"
24-Nov-13,"3,374","3,318",38,"3,194","2,064","1,395",91,69,73,71,77,67,64,71,76,75,93,87,219,83,70,53,56,"4,410",283,369,277,300,279,280,274,279,355,280,280,279,298,279,298,"4,409",0,"1,198",999,"1,310",902,12,4,6,2,0,0,"22,214"
25-Nov-13,"3,371","3,330",37,"3,190","2,092","1,392",90,67,73,71,77,67,66,71,75,73,92,87,221,83,70,53,56,"4,409",282,369,277,300,279,280,273,280,355,280,280,278,297,280,299,"4,410",0,"1,200",999,"1,309",902,12,4,6,2,0,0,"22,243"
26-Nov-13,"3,369","3,345",39,"3,192","2,074","1,392",90,66,73,71,76,67,67,70,75,76,91,85,224,83,70,53,55,"4,407",282,369,280,299,278,279,272,279,355,280,280,278,295,280,301,"4,408",0,"1,200",999,"1,307",902,12,4,6,2,0,0,"22,238"
27-Nov-13,"3,361","3,327",39,"3,201","2,064","1,376",89,66,73,70,76,66,67,69,72,74,91,85,220,82,69,53,54,"4,408",281,368,279,300,277,280,274,278,355,280,281,280,294,280,301,"4,402",0,"1,199",999,"1,302",902,11,4,5,2,0,0,"22,189"
