Location,MS STATE PENITENTIARY,CENTRAL MS CORRECTIONAL FACILITY,SOUTH MS CORRECTIONAL INSTITUTION,COUNTY JAILS,COMMUNITY WORK CENTERS,Alcorn Satellite Facility,Bolivar Satellite Facility,Forrest Satellite Facility,George Satellite Facility,Harrison Satellite Facility,Jackson Satellite Facility,Jefferson Satellite Facility,Leflore Satellite Facility,Madison Satellite Facility,Noxubee Satellite Facility,Pike Satellite Facility,Quitman Satellite Facility,Rankin Satellite Facility,Simpson Satellite Facility,Washington Satellite Facility,Wilkinson Satellite Facility,Yazoo Satellite Facility,REGIONAL CORRECTIONAL FACILITIES,Bolivar County,Carroll County,George County (opened on May 10th),Holmes County,Issaquena County,Jefferson County,Kemper County,Leake County,Marion County,Stone County,Winston County,PRIVATE PRISONS,East MS,Marshall County,Walnut Grove,Wilkinson County,RESITITUTION CENTERS,Greenwood,Hinds,Pascagoula,GOVERNOR'S MANSION,E-CODE,TOTALS
Capacity,"5,768","3,233","2,214","2,176","1,816",92,102,96,102,102,102,102,102,102,92,93,93,228,102,102,102,102,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,750","1,000","1,000",750,"1,000",24,6,12,6,6,,"21,737"
14-Dec-03,"5,642","3,063","2,143","1,997","1,511",92,77,95,68,63,69,73,97,101,87,39,77,219,101,84,70,99,"2,743",250,249,250,249,250,248,249,248,250,250,250,"3,431",730,988,720,993,16,6,6,4,6,4,"20,556"
15-Dec-03,"5,637","3,051","2,136","1,997","1,506",91,73,95,67,63,69,72,97,101,91,39,76,219,101,83,70,99,"2,747",250,250,250,250,250,248,250,250,249,250,250,"3,452",732,995,730,995,16,6,6,4,6,4,"20,552"
16-Dec-03,"5,650","3,056","2,146","1,997","1,517",92,73,95,67,67,69,72,101,102,91,38,76,218,102,82,74,98,"2,749",250,250,250,250,250,250,250,250,249,250,250,"3,447",732,994,728,993,16,6,6,4,6,5,"20,589"
17-Dec-03,"5,622","3,089","2,139","1,997","1,537",92,80,95,66,67,69,72,101,102,90,44,81,218,102,87,73,98,"2,750",250,250,250,250,250,250,250,250,250,250,250,"3,454",732,995,732,995,16,6,6,4,6,4,"20,614"
18-Dec-03,"5,630","3,118","2,133","1,997","1,537",92,80,95,66,67,69,72,100,102,90,45,82,215,102,87,73,100,"2,749",250,250,250,250,250,249,250,250,250,250,250,"3,456",732,995,734,995,15,6,5,4,6,4,"20,645"
19-Dec-03,"5,626","3,130","2,106","1,997","1,535",92,81,95,65,67,69,73,99,101,88,44,81,218,101,87,74,100,"2,748",250,250,250,250,250,249,250,249,250,250,250,"3,454",732,993,735,994,15,6,5,4,6,5,"20,622"
20-Dec-03,"5,625","3,134","2,107","1,997","1,532",92,80,95,65,67,69,73,99,101,88,44,81,216,101,87,74,100,"2,746",250,250,250,250,249,248,250,249,250,250,250,"3,452",732,993,733,994,15,6,5,4,6,2,"20,616"
21-Dec-03,"5,624","3,133","2,108","1,997","1,531",92,80,95,65,67,69,73,99,101,88,44,81,215,101,87,74,100,"2,745",250,250,249,250,249,248,250,249,250,250,250,"3,452",732,993,733,994,15,6,5,4,6,3,"20,614"
22-Dec-03,"5,625","3,158","2,098","1,997","1,521",91,78,96,65,66,68,73,99,101,92,43,79,212,102,84,74,98,"2,748",250,250,249,250,251,250,249,249,250,250,250,"3,449",732,995,731,991,15,6,5,4,6,5,"20,622"
23-Dec-03,"5,640","3,164","2,101","1,997","1,525",91,78,95,65,65,68,73,99,99,92,46,79,217,102,84,74,98,"2,748",250,250,249,250,251,249,250,249,250,250,250,"3,448",731,995,729,993,15,6,5,4,6,5,"20,649"
24-Dec-03,"5,636","3,171","2,102","1,997","1,519",91,78,94,65,65,68,69,99,99,92,45,79,217,102,84,74,98,"2,747",249,250,249,250,251,249,250,249,250,250,250,"3,445",731,993,728,993,15,6,5,4,6,3,"20,641"
25-Dec-03,"5,635","3,171","2,102","1,997","1,519",91,78,94,65,65,68,69,99,99,92,45,79,217,102,84,74,98,"2,745",249,250,249,250,250,249,250,248,250,250,250,"3,445",731,993,728,993,15,6,5,4,6,3,"20,638"
26-Dec-03,"5,635","3,171","2,101","1,997","1,519",91,78,94,65,65,68,69,99,99,92,45,79,217,102,84,74,98,"2,744",249,250,249,250,250,248,250,248,250,250,250,"3,444",731,992,728,993,15,6,5,4,6,3,"20,635"
